player names,first card,anytime card,red_card,contest
Aaron Hickey,17/2,2/1,28/1,Brentford v Man Utd
Frank Onyeka,9/1,12/5,28/1,Brentford v Man Utd
Yehor Yarmolyuk,11/1,14/5,33/1,Brentford v Man Utd
Jordan Henderson,11/1,14/5,33/1,Brentford v Man Utd
Igor Thiago,12/1,7/2,40/1,Brentford v Man Utd
Nathan Collins,12/1,7/2,40/1,Brentford v Man Utd
Kristoffer Ajer,12/1,7/2,40/1,Brentford v Man Utd
Michael Kayode,12/1,7/2,40/1,Brentford v Man Utd
Keane Lewis-Potter,14/1,4/1,40/1,Brentford v Man Utd
Mathias Jensen,14/1,4/1,40/1,Brentford v Man Utd
Vitaly Janelt,14/1,4/1,40/1,Brentford v Man Utd
Rico Henry,14/1,4/1,40/1,Brentford v Man Utd
Fabio Carvalho,16/1,23/5,40/1,Brentford v Man Utd
Antoni Milambo,16/1,23/5,40/1,Brentford v Man Utd
Sepp van den Berg,16/1,23/5,40/1,Brentford v Man Utd
Dango Ouattara,18/1,11/2,50/1,Brentford v Man Utd
Reiss Nelson,18/1,11/2,50/1,Brentford v Man Utd
Mikkel Damsgaard,18/1,11/2,50/1,Brentford v Man Utd
Ethan Pinnock,18/1,11/2,50/1,Brentford v Man Utd
Kevin Schade,20/1,13/2,50/1,Brentford v Man Utd
Caoimhin Kelleher,20/1,13/2,50/1,Brentford v Man Utd
Manuel Ugarte,8/1,15/8,25/1,Brentford v Man Utd
Harry Maguire,9/1,9/4,28/1,Brentford v Man Utd
Patrick Dorgu,10/1,13/5,33/1,Brentford v Man Utd
Luke Shaw,10/1,13/5,33/1,Brentford v Man Utd
Bruno Fernandes,11/1,3/1,33/1,Brentford v Man Utd
Leny Yoro,11/1,3/1,33/1,Brentford v Man Utd
Ayden Heaven,11/1,3/1,33/1,Brentford v Man Utd
Amad Diallo,12/1,10/3,40/1,Brentford v Man Utd
Kobbie Mainoo,12/1,10/3,40/1,Brentford v Man Utd
Diogo Dalot,12/1,10/3,40/1,Brentford v Man Utd
Matheus Cunha,14/1,15/4,40/1,Brentford v Man Utd
Mason Mount,14/1,15/4,40/1,Brentford v Man Utd
Matthijs de Ligt,14/1,17/4,40/1,Brentford v Man Utd
Joshua Zirkzee,16/1,5/1,50/1,Brentford v Man Utd
Noussair Mazraoui,16/1,5/1,50/1,Brentford v Man Utd
Altay Bayindir,20/1,6/1,50/1,Brentford v Man Utd
Bryan Mbeumo,25/1,15/2,50/1,Brentford v Man Utd
Benjamin Sesko,25/1,15/2,50/1,Brentford v Man Utd
Wesley Fofana,10/1,2/1,28/1,Chelsea v Brighton
Moises Caicedo,10/1,2/1,28/1,Chelsea v Brighton
Enzo Fernandez,11/1,11/5,28/1,Chelsea v Brighton
Andrey Santos,12/1,12/5,33/1,Chelsea v Brighton
Jorrel Hato,12/1,12/5,33/1,Chelsea v Brighton
Tosin Adarabioyo,14/1,3/1,33/1,Chelsea v Brighton
Joao Pedro,14/1,10/3,40/1,Chelsea v Brighton
Pedro Neto,14/1,10/3,40/1,Chelsea v Brighton
Marc Cucurella,14/1,10/3,40/1,Chelsea v Brighton
Estevao,16/1,15/4,40/1,Chelsea v Brighton
Trevoh Chalobah,16/1,15/4,40/1,Chelsea v Brighton
Reece James,16/1,15/4,40/1,Chelsea v Brighton
Malo Gusto,16/1,15/4,40/1,Chelsea v Brighton
Cole Palmer,18/1,17/4,40/1,Chelsea v Brighton
Jamie Gittens,18/1,17/4,40/1,Chelsea v Brighton
Tyrique George,20/1,5/1,50/1,Chelsea v Brighton
Marc Guiu,22/1,6/1,50/1,Chelsea v Brighton
Alejandro Garnacho,22/1,6/1,50/1,Chelsea v Brighton
Filip Jorgensen,28/1,15/2,50/1,Chelsea v Brighton
Carlos Baleba,17/2,31/20,22/1,Chelsea v Brighton
Jan Paul van Hecke,10/1,19/10,28/1,Chelsea v Brighton
James Milner,11/1,21/10,28/1,Chelsea v Brighton
Joel Veltman,11/1,21/10,28/1,Chelsea v Brighton
Stefanos Tzimas,11/1,23/10,33/1,Chelsea v Brighton
Mats Wieffer,11/1,23/10,33/1,Chelsea v Brighton
Diego Gomez,12/1,14/5,33/1,Chelsea v Brighton
Diego Coppola,12/1,14/5,33/1,Chelsea v Brighton
Yasin Ayari,14/1,16/5,33/1,Chelsea v Brighton
Maxime De Cuyper,14/1,16/5,33/1,Chelsea v Brighton
Danny Welbeck,16/1,18/5,40/1,Chelsea v Brighton
Georginio Rutter,16/1,18/5,40/1,Chelsea v Brighton
Lewis Dunk,16/1,18/5,40/1,Chelsea v Brighton
Yankuba Minteh,16/1,4/1,40/1,Chelsea v Brighton
Brajan Gruda,18/1,24/5,50/1,Chelsea v Brighton
Ferdi Kadioglu,18/1,24/5,50/1,Chelsea v Brighton
Kaoru Mitoma,22/1,11/2,50/1,Chelsea v Brighton
