assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event
0,0,18,0,32.2,503,0.3,0.33,0.03,0.96,10,1,0,6.7,12.6,2024-08-19,90,False,11,0,0,0,0,1,0,871012,1,1,1,22.0,2,0,0,0,100,False,0,0,1,0.0261307433247566,90,FWL,Leicester,Tottenham,1,1,26611,2024,667465,0.240371823310852,0,2,0,0.0261307433247566,0.3055684268474579,0.2872703373432159,Tottenham,4.0,2.0,1.0
0,3,55,1,15.8,503,0.05,1.19,1.14,1.0,19,0,2,13.5,75.8,2024-08-24,90,False,8,0,0,0,0,2,0,871942,1,0,4,43.0,16,-67628,33013,100641,100,True,0,2,3,0.7459495067596436,90,FW,Tottenham,Everton,4,0,26617,2024,667984,0.2627995908260345,0,1,2,0.7459495067596436,1.2509618997573853,0.5235897898674011,Tottenham,2.0,4.0,2.0
0,1,20,0,40.0,503,0.18,0.28,0.1,1.57,28,2,0,7.4,15.2,2024-09-01,90,False,15,0,0,0,0,3,0,1024528,1,1,2,19.0,3,91564,217600,126036,100,False,0,0,1,0.0747280344367027,90,FWL,Newcastle United,Tottenham,2,1,26629,2024,672480,0.1325102597475052,0,3,0,0.0747280344367027,0.2795158624649048,0.1040485501289367,Tottenham,4.0,4.0,3.0
0,0,13,0,19.9,503,0.13,0.17,0.04,0.73,39,1,0,3.7,8.8,2024-09-15,90,False,1,0,0,0,0,4,0,885174,1,1,0,8.0,2,-150921,72874,223795,100,True,0,0,1,0.0266771297901868,90,FWL,Tottenham,Arsenal,0,1,26640,2024,674314,0.1050876453518867,0,1,0,0.0266771297901868,0.3191333711147308,0.1873686015605926,Tottenham,4.0,4.0,4.0
2,2,43,0,77.0,503,0.45,0.52,0.07,0.8,49,1,0,14.7,49.4,2024-09-21,90,False,4,0,0,0,0,5,0,936643,1,1,3,21.0,10,24634,103713,79079,100,True,0,0,1,0.0402200184762477,90,FWL,Tottenham,Brentford,3,1,26648,2024,675786,1.138350248336792,2,7,0,0.0402200184762477,2.163238048553467,0.9846677780151368,Tottenham,2.0,4.0,5.0
0,1,27,0,25.4,503,0.06,0.47,0.41,0.72,79,1,1,12.0,39.0,2024-10-19,69,False,19,0,0,0,0,8,0,510125,1,1,4,56.0,8,-29173,68830,98003,98,True,0,1,5,0.32474485039711,71,FWL,Tottenham,West Ham,4,1,26672,2024,680950,0.1313708275556564,0,2,1,0.32474485039711,0.797939658164978,0.3599887490272522,Tottenham,2.0,4.0,8.0
1,0,19,0,31.6,503,0.54,0.54,0.0,1.39,99,1,0,5.9,27.0,2024-11-03,55,False,2,0,0,0,0,10,0,604337,1,1,4,0.0,4,-183553,16881,200434,99,True,0,0,0,0.0,57,FWL,Tottenham,Aston Villa,4,1,26700,2024,685524,0.6118038892745972,1,2,0,0.0,0.7371665239334106,0.1504041701555252,Tottenham,3.0,4.0,10.0
0,0,19,0,35.1,503,0.48,0.59,0.11,1.74,108,2,0,9.3,13.4,2024-11-10,90,False,10,0,0,0,0,11,0,827283,1,2,1,44.0,2,189015,213043,24028,99,True,0,0,4,0.1629077494144439,90,FWL,Tottenham,Ipswich,1,2,26709,2024,687292,0.7252818942070007,0,2,0,0.1629077494144439,0.7895775437355042,0.605426549911499,Tottenham,2.0,4.0,11.0
1,0,26,1,31.5,503,0.16,0.18,0.02,1.43,118,0,0,7.2,27.4,2024-11-23,62,False,13,0,0,0,0,12,0,653803,1,4,0,13.0,6,-153012,28769,181781,99,False,0,0,1,0.0253227278590202,66,FWL,Manchester City,Tottenham,0,4,26720,2024,688691,0.5518358945846558,1,2,0,0.0253227278590202,1.0270622968673706,0.5524340271949768,Tottenham,4.0,4.0,12.0
0,0,9,0,15.9,503,0.03,0.21,0.18,1.38,128,1,0,4.5,8.0,2024-12-01,90,False,9,0,0,0,0,13,0,710485,1,1,1,21.0,2,36924,69547,32623,99,True,0,0,1,0.3531325459480285,90,FW,Tottenham,Fulham,1,1,26729,2024,690620,0.0269283186644315,0,1,0,0.3531325459480285,0.7753521800041199,0.3952912986278534,Tottenham,3.0,4.0,13.0
0,0,4,0,10.5,503,0.12,0.16,0.04,2.21,133,0,0,1.8,5.8,2024-12-05,33,False,3,0,0,0,0,14,0,640453,0,0,1,2.0,1,-63272,21848,85120,99,False,0,0,1,0.0167026482522487,32,Sub,Bournemouth,Tottenham,1,0,26732,2024,691661,0.1009350195527076,0,1,0,0.0167026482522487,0.1176376640796661,0.0,Tottenham,4.0,3.0,14.0
0,0,26,0,27.8,503,0.47,1.55,1.08,2.83,149,4,1,11.7,41.0,2024-12-08,90,False,6,0,0,0,0,15,0,561898,1,4,3,48.0,7,-80422,10327,90749,98,True,0,1,4,1.227458953857422,90,FWL,Tottenham,Chelsea,3,4,26745,2024,693024,1.149858832359314,0,2,1,1.227458953857422,1.362829089164734,0.0,Tottenham,4.0,4.0,15.0
2,2,51,0,40.3,503,0.3,0.67,0.37,0.54,159,0,1,19.6,76.0,2024-12-15,45,False,17,0,0,0,0,16,0,555994,1,5,0,80.0,14,-13084,26044,39128,98,False,0,1,7,0.818854033946991,50,AML,Southampton,Tottenham,0,5,26759,2024,694640,1.3934333324432373,2,3,1,0.818854033946991,2.203297615051269,0.6173252463340759,Tottenham,4.0,2.0,16.0
0,0,2,0,3.0,503,0.09,0.12,0.03,4.25,169,5,0,1.2,0.0,2024-12-22,81,False,12,0,0,0,0,17,0,559989,1,6,3,10.0,2,243,29363,29120,98,True,0,0,1,0.0340388529002666,84,AML,Tottenham,Liverpool,3,6,26768,2024,695851,0.0,0,0,0,0.0340388529002666,0.0340388529002666,0.0,Tottenham,5.0,4.0,17.0
0,0,16,0,37.1,503,0.08,0.28,0.2,1.09,178,1,0,7.6,10.8,2024-12-26,80,False,16,0,0,0,0,18,0,692165,1,0,1,28.0,2,127067,167231,40164,98,False,0,0,2,0.1527605354785919,82,AML,Nottingham Forest,Tottenham,1,0,26779,2024,696262,0.0883363559842109,0,3,0,0.1527605354785919,0.186330959200859,0.0185110494494438,Tottenham,4.0,3.0,18.0
0,0,3,0,13.3,503,0.02,0.88,0.86,0.28,189,1,0,4.1,8.8,2024-12-29,63,False,20,0,1,0,0,19,0,757290,1,2,2,19.0,0,62034,104844,42810,99,True,0,0,2,0.8335294127464294,67,AML,Tottenham,Wolverhampton Wanderers,2,2,26790,2024,696741,0.0154297379776835,0,1,0,0.0723605826497078,0.0877903178334236,0.0,Tottenham,2.0,4.0,19.0
0,0,5,0,15.1,503,0.06,0.06,0.0,0.24,199,0,0,2.4,2.4,2025-01-04,28,False,15,0,0,0,0,20,0,659394,0,2,1,6.0,1,-97961,30420,128381,99,True,0,0,0,0.0,24,Sub,Tottenham,Newcastle United,1,2,26800,2024,697115,0.0232727564871311,0,1,0,0.0,0.1812061220407486,0.1812061220407486,Tottenham,3.0,4.0,20.0
