AM_names,AM_odds,contest
Brenden Aaronson AM,8 - 11,Leeds v Man Utd
Wilfried Gnonto AM,8 - 11,Leeds v Man Utd
Anton Stach AM,8 - 11,Leeds v Man Utd
Jack Harrison AM,8 - 11,Leeds v Man Utd
Noah Okafor AM,7 - 10,Leeds v Man Utd
Ao Tanaka AM,7 - 10,Leeds v Man Utd
Dominic Calvert-Lewin AM,5 - 8,Leeds v Man Utd
Lukas Nmecha AM,4 - 7,Leeds v Man Utd
Joel Piroe AM,3 - 6,Leeds v Man Utd
Ilia Gruev AM,3 - 6,Leeds v Man Utd
Gabriel Gudmondsson AM,3 - 6,Leeds v Man Utd
Jayden Bogle AM,3 - 6,Leeds v Man Utd
James Justin AM,3 - 6,Leeds v Man Utd
Jaka Bijol AM,2 - 4,Leeds v Man Utd
Pascal Struijk AM,2 - 4,Leeds v Man Utd
Sebastiaan Bornauw AM,2 - 4,Leeds v Man Utd
Matheus Cunha AM,11 - 14,Leeds v Man Utd
Benjamin Sesko AM,6 - 9,Leeds v Man Utd
Joshua Zirkzee AM,6 - 9,Leeds v Man Utd
Patrick Dorgu AM,6 - 9,Leeds v Man Utd
Mason Mount AM,6 - 9,Leeds v Man Utd
Diogo Dalot AM,4 - 7,Leeds v Man Utd
Kobbie Mainoo AM,4 - 7,Leeds v Man Utd
Manuel Ugarte AM,3 - 6,Leeds v Man Utd
Luke Shaw AM,3 - 6,Leeds v Man Utd
Casemiro AM,3 - 6,Leeds v Man Utd
Jack Fletcher AM,3 - 6,Leeds v Man Utd
Matthijs de Ligt AM,2.5 - 5,Leeds v Man Utd
Tyrell Malacia AM,2.5 - 5,Leeds v Man Utd
Ayden Heaven AM,2 - 4,Leeds v Man Utd
Lisandro Martinez AM,2 - 4,Leeds v Man Utd
Leny Yoro AM,2 - 4,Leeds v Man Utd
