AM_names,AM_odds,contest
Cole Palmer AM,16 - 19,Chelsea v Bournemouth
Alejandro Garnacho AM,12 - 15,Chelsea v Bournemouth
Reece James AM,12 - 15,Chelsea v Bournemouth
Pedro Neto AM,11 - 14,Chelsea v Bournemouth
Enzo Fernandez AM,8 - 11,Chelsea v Bournemouth
Marc Cucurella AM,7 - 10,Chelsea v Bournemouth
Joao Pedro AM,7 - 10,Chelsea v Bournemouth
Moises Caicedo AM,3 - 6,Chelsea v Bournemouth
Antoine Semenyo AM,5 - 8,Chelsea v Bournemouth
Marcus Tavernier AM,5 - 8,Chelsea v Bournemouth
Eli Junior Kroupi AM,4 - 7,Chelsea v Bournemouth
Ryan Christie AM,3 - 6,Chelsea v Bournemouth
Adrien Truffert AM,3 - 6,Chelsea v Bournemouth
Lewis Cook AM,2.5 - 5,Chelsea v Bournemouth
Bafode Diakite AM,1 - 3,Chelsea v Bournemouth
Bukayo Saka AM,15 - 18,Arsenal v Aston Villa
Declan Rice AM,10 - 13,Arsenal v Aston Villa
Martin Odegaard AM,9 - 12,Arsenal v Aston Villa
Leandro Trossard AM,7 - 10,Arsenal v Aston Villa
Gabriel Martinelli AM,5 - 8,Arsenal v Aston Villa
Eberechi Eze AM,5 - 8,Arsenal v Aston Villa
Mikel Merino AM,5 - 8,Arsenal v Aston Villa
Noni Madueke AM,5 - 8,Arsenal v Aston Villa
Gabriel Jesus AM,3 - 6,Arsenal v Aston Villa
Viktor Gyokeres AM,2.5 - 5,Arsenal v Aston Villa
Riccardo Calafiori AM,2 - 4,Arsenal v Aston Villa
Martin Zubimendi AM,2 - 4,Arsenal v Aston Villa
Myles Lewis-Skelly AM,2 - 4,Arsenal v Aston Villa
Jurrien Timber AM,2 - 4,Arsenal v Aston Villa
Piero Hincapie AM,1 - 3,Arsenal v Aston Villa
Gabriel Magalhaes AM,1 - 3,Arsenal v Aston Villa
William Saliba AM,0.5 - 2,Arsenal v Aston Villa
Morgan Rogers AM,3 - 6,Arsenal v Aston Villa
Youri Tielemans AM,3 - 6,Arsenal v Aston Villa
Jadon Sancho AM,2.5 - 5,Arsenal v Aston Villa
John McGinn AM,2.5 - 5,Arsenal v Aston Villa
Emiliano Buendia AM,2.5 - 5,Arsenal v Aston Villa
Donyell Malen AM,2 - 4,Arsenal v Aston Villa
Ian Maatsen AM,2 - 4,Arsenal v Aston Villa
Lucas Digne AM,2 - 4,Arsenal v Aston Villa
Ollie Watkins AM,1 - 3,Arsenal v Aston Villa
Andres Garcia AM,1 - 3,Arsenal v Aston Villa
Lamare Bogarde AM,1 - 3,Arsenal v Aston Villa
Ezri Konsa AM,0.5 - 2,Arsenal v Aston Villa
Victor Lindelof AM,0.25 - 1.5,Arsenal v Aston Villa
Amadou Onana AM,0.25 - 1.5,Arsenal v Aston Villa
Matheus Cunha AM,12 - 15,Man Utd v Wolves
Benjamin Sesko AM,2.5 - 5,Man Utd v Wolves
Mason Mount AM,6 - 9,Man Utd v Wolves
Joshua Zirkzee AM,3 - 6,Man Utd v Wolves
Diogo Dalot AM,6 - 9,Man Utd v Wolves
Patrick Dorgu AM,7 - 10,Man Utd v Wolves
Luke Shaw AM,4 - 7,Man Utd v Wolves
Manuel Ugarte AM,2 - 4,Man Utd v Wolves
Casemiro AM,3 - 6,Man Utd v Wolves
Lisandro Martinez AM,1 - 3,Man Utd v Wolves
Ayden Heaven AM,0.5 - 2,Man Utd v Wolves
Tyrell Malacia AM,5 - 8,Man Utd v Wolves
Leny Yoro AM,0.25 - 1.5,Man Utd v Wolves
Jhon Arias AM,3 - 6,Man Utd v Wolves
Fer Lopez AM,2.5 - 5,Man Utd v Wolves
Hwang Hee-chan AM,2 - 4,Man Utd v Wolves
Jorgen Strand Larsen AM,1 - 3,Man Utd v Wolves
Tolu Arokodare AM,0.5 - 2,Man Utd v Wolves
Jackson Tchatchoua AM,3 - 6,Man Utd v Wolves
Mateus Mane AM,2.5 - 5,Man Utd v Wolves
David Moller Wolfe AM,1 - 3,Man Utd v Wolves
Matt Doherty AM,1 - 3,Man Utd v Wolves
Joao Gomes AM,0.5 - 2,Man Utd v Wolves
Andre AM,0.1 - 1,Man Utd v Wolves
Ladislav Krejci AM,1 - 3,Man Utd v Wolves
Hugo Bueno  AM,3 - 6,Man Utd v Wolves
Yerson Mosquera AM,0.1 - 1,Man Utd v Wolves
Ki-Jana Hoever AM,2 - 4,Man Utd v Wolves
Mikkel Damsgaard AM,8 - 11,Brentford v Tottenham
Mathias Jensen AM,8 - 11,Brentford v Tottenham
Michael Kayode AM,6 - 9,Brentford v Tottenham
Kevin Schade AM,5 - 8,Brentford v Tottenham
Reiss Nelson AM,5 - 8,Brentford v Tottenham
Keane Lewis-Potter AM,5 - 8,Brentford v Tottenham
Jordan Henderson AM,3 - 6,Brentford v Tottenham
Vitaly Janelt AM,3 - 6,Brentford v Tottenham
Igor Thiago AM,3 - 6,Brentford v Tottenham
Rico Henry AM,2.5 - 5,Brentford v Tottenham
Aaron Hickey AM,2 - 4,Brentford v Tottenham
Kristoffer Ajer AM,1 - 3,Brentford v Tottenham
Yehor Yarmolyuk AM,0.5 - 2,Brentford v Tottenham
Nathan Collins AM,0.5 - 2,Brentford v Tottenham
Sepp van den Berg AM,0.5 - 2,Brentford v Tottenham
Ethan Pinnock AM,0.5 - 2,Brentford v Tottenham
Mohammed Kudus AM,10 - 13,Brentford v Tottenham
Pedro Porro AM,7 - 10,Brentford v Tottenham
Wilson Odobert AM,6 - 9,Brentford v Tottenham
Randal Kolo Muani AM,4 - 7,Brentford v Tottenham
Brennan Johnson AM,4 - 7,Brentford v Tottenham
Mathys Tel AM,3 - 6,Brentford v Tottenham
Richarlison AM,2 - 4,Brentford v Tottenham
Djed Spence AM,2 - 4,Brentford v Tottenham
Dane Scarlett AM,1 - 3,Brentford v Tottenham
Lucas Bergvall AM,1 - 3,Brentford v Tottenham
Cristian Romero AM,1 - 3,Brentford v Tottenham
Rodrigo Bentancur AM,1 - 3,Brentford v Tottenham
Ben Davies AM,1 - 3,Brentford v Tottenham
Micky van de Ven AM,0.5 - 2,Brentford v Tottenham
Radu Dragusin AM,0.25 - 1.5,Brentford v Tottenham
Archie Gray AM,0.25 - 1.5,Brentford v Tottenham
Kevin Danso AM,0.25 - 1.5,Brentford v Tottenham
Joao Palhinha AM,0.25 - 1.5,Brentford v Tottenham
