AM_names,AM_odds,contest
Mohammed Kudus AM,7 - 10,Tottenham v Liverpool
Richarlison AM,3 - 6,Tottenham v Liverpool
Brennan Johnson AM,7 - 10,Tottenham v Liverpool
Xavi Simons AM,5 - 8,Tottenham v Liverpool
Pedro Porro AM,5 - 8,Tottenham v Liverpool
Rodrigo Bentancur AM,1 - 3,Tottenham v Liverpool
Cristian Romero AM,1 - 3,Tottenham v Liverpool
Djed Spence AM,2 - 4,Tottenham v Liverpool
Archie Gray AM,0.5 - 2,Tottenham v Liverpool
Hugo Ekitike AM,2.5 - 5,Tottenham v Liverpool
Florian Wirtz AM,7 - 10,Tottenham v Liverpool
Federico Chiesa AM,9 - 12,Tottenham v Liverpool
Alexis MacAllister AM,5 - 8,Tottenham v Liverpool
Curtis Jones AM,3 - 6,Tottenham v Liverpool
Ryan Gravenberch AM,2.5 - 5,Tottenham v Liverpool
Conor Bradley AM,4 - 7,Tottenham v Liverpool
Milos Kerkez AM,4 - 7,Tottenham v Liverpool
Dwight McNeil AM,7 - 10,Everton v Arsenal
Jack Grealish AM,4 - 7,Everton v Arsenal
Kiernan Dewsbury-Hall AM,3 - 6,Everton v Arsenal
James Garner AM,2.5 - 5,Everton v Arsenal
Nathan Patterson AM,2.5 - 5,Everton v Arsenal
Carlos Alcaraz AM,2 - 4,Everton v Arsenal
Tyler Dibling AM,2 - 4,Everton v Arsenal
Vitaliy Mykolenko AM,1 - 3,Everton v Arsenal
Thierno Barry AM,2 - 4,Everton v Arsenal
Beto AM,2 - 4,Everton v Arsenal
James Tarkowski AM,1 - 3,Everton v Arsenal
Tim Iroegbunam AM,0.5 - 2,Everton v Arsenal
Jake O'Brien AM,0.25 - 1.5,Everton v Arsenal
Michael Keane AM,0.25 - 1.5,Everton v Arsenal
Bukayo Saka AM,11 - 14,Everton v Arsenal
Martin Odegaard AM,10 - 13,Everton v Arsenal
Declan Rice AM,9 - 12,Everton v Arsenal
Eberechi Eze AM,8 - 11,Everton v Arsenal
Gabriel Martinelli AM,7 - 10,Everton v Arsenal
Noni Madueke AM,6 - 9,Everton v Arsenal
Viktor Gyokeres AM,7 - 10,Everton v Arsenal
Gabriel Jesus AM,6 - 9,Everton v Arsenal
Leandro Trossard AM,5 - 8,Everton v Arsenal
Mikel Merino AM,4 - 7,Everton v Arsenal
Ethan Nwaneri AM,3 - 6,Everton v Arsenal
Martin Zubimendi AM,2.5 - 5,Everton v Arsenal
Ben White AM,2.5 - 5,Everton v Arsenal
Riccardo Calafiori AM,2 - 4,Everton v Arsenal
Piero Hincapie AM,2 - 4,Everton v Arsenal
Myles Lewis-Skelly AM,2 - 4,Everton v Arsenal
Christian Norgaard AM,2 - 4,Everton v Arsenal
Jurrien Timber AM,1 - 3,Everton v Arsenal
William Saliba AM,0.25 - 1.5,Everton v Arsenal
Morgan Rogers AM,8 - 11,Aston Villa v Man Utd
Youri Tielemans AM,7 - 10,Aston Villa v Man Utd
Emiliano Buendia AM,7 - 10,Aston Villa v Man Utd
John McGinn AM,6 - 9,Aston Villa v Man Utd
Lucas Digne AM,6 - 9,Aston Villa v Man Utd
Ian Maatsen AM,5 - 8,Aston Villa v Man Utd
Jadon Sancho AM,5 - 8,Aston Villa v Man Utd
Matty Cash AM,4 - 7,Aston Villa v Man Utd
Ollie Watkins AM,4 - 7,Aston Villa v Man Utd
Evann Guessand AM,4 - 7,Aston Villa v Man Utd
Donyell Malen AM,3 - 6,Aston Villa v Man Utd
Boubacar Kamara AM,2 - 4,Aston Villa v Man Utd
Amadou Onana AM,0.5 - 2,Aston Villa v Man Utd
Ezri Konsa AM,0.5 - 2,Aston Villa v Man Utd
Victor Lindelof AM,0.1 - 1,Aston Villa v Man Utd
Bruno Fernandes AM,11 - 14,Aston Villa v Man Utd
Mason Mount AM,5 - 8,Aston Villa v Man Utd
Matheus Cunha AM,4 - 7,Aston Villa v Man Utd
Patrick Dorgu AM,3 - 6,Aston Villa v Man Utd
Diogo Dalot AM,3 - 6,Aston Villa v Man Utd
Joshua Zirkzee AM,2.5 - 5,Aston Villa v Man Utd
Tyrell Malacia AM,2 - 4,Aston Villa v Man Utd
Kobbie Mainoo AM,2 - 4,Aston Villa v Man Utd
Luke Shaw AM,1 - 3,Aston Villa v Man Utd
Benjamin Sesko AM,1 - 3,Aston Villa v Man Utd
Manuel Ugarte AM,1 - 3,Aston Villa v Man Utd
Matthijs de Ligt AM,0.25 - 1.5,Aston Villa v Man Utd
Lisandro Martinez AM,0.25 - 1.5,Aston Villa v Man Utd
Leny Yoro AM,0.25 - 1.5,Aston Villa v Man Utd
Ayden Heaven AM,0.25 - 1.5,Aston Villa v Man Utd
Harry Maguire AM,0.5 - 2,Aston Villa v Man Utd
Harry Wilson AM,10 - 13,Fulham v Nottingham Forest
Sasa Lukic AM,8 - 11,Fulham v Nottingham Forest
Tom Cairney AM,8 - 11,Fulham v Nottingham Forest
Adama Traore AM,8 - 11,Fulham v Nottingham Forest
Kevin AM,7 - 10,Fulham v Nottingham Forest
Joshua King AM,7 - 10,Fulham v Nottingham Forest
Emile Smith Rowe AM,6 - 9,Fulham v Nottingham Forest
Raul Jimenez AM,6 - 9,Fulham v Nottingham Forest
Antonee Robinson AM,5 - 8,Fulham v Nottingham Forest
Sander Berge AM,4 - 7,Fulham v Nottingham Forest
Harrison Reed AM,4 - 7,Fulham v Nottingham Forest
Kenny Tete AM,3 - 6,Fulham v Nottingham Forest
Timothy Castagne AM,3 - 6,Fulham v Nottingham Forest
Jorge Cuenca AM,2 - 4,Fulham v Nottingham Forest
Joachim Andersen AM,2 - 4,Fulham v Nottingham Forest
Issa Diop AM,1 - 3,Fulham v Nottingham Forest
Elliot Anderson AM,8 - 11,Fulham v Nottingham Forest
Morgan Gibbs-White AM,8 - 11,Fulham v Nottingham Forest
Omari Hutchinson AM,7 - 10,Fulham v Nottingham Forest
Dan Ndoye AM,7 - 10,Fulham v Nottingham Forest
James McAtee AM,7 - 10,Fulham v Nottingham Forest
Arnaud Kalimuendo AM,5 - 8,Fulham v Nottingham Forest
Igor Jesus AM,5 - 8,Fulham v Nottingham Forest
Callum Hudson-Odoi AM,5 - 8,Fulham v Nottingham Forest
Douglas Luiz AM,5 - 8,Fulham v Nottingham Forest
Neco Williams AM,3 - 6,Fulham v Nottingham Forest
Nicolo Savona AM,3 - 6,Fulham v Nottingham Forest
Murillo AM,3 - 6,Fulham v Nottingham Forest
Oleksandr Zinchenko AM,3 - 6,Fulham v Nottingham Forest
Morato AM,2 - 4,Fulham v Nottingham Forest
Zach Abbott AM,2 - 4,Fulham v Nottingham Forest
Nikola Milenkovic AM,1 - 3,Fulham v Nottingham Forest
Rayan Cherki AM,29 - 32,Man City v West Ham
Savinho AM,18 - 21,Man City v West Ham
Phil Foden AM,18 - 21,Man City v West Ham
Bernardo Silva AM,11 - 14,Man City v West Ham
Rico Lewis AM,8 - 11,Man City v West Ham
Matheus Nunes AM,7 - 10,Man City v West Ham
Tijjani Reijnders AM,7 - 10,Man City v West Ham
Nico O'Reilly AM,6 - 9,Man City v West Ham
Erling Haaland AM,6 - 9,Man City v West Ham
Josko Gvardiol AM,2.5 - 5,Man City v West Ham
Nico Gonzalez AM,2 - 4,Man City v West Ham
Ruben Dias AM,1 - 3,Man City v West Ham
Jarrod Bowen AM,5 - 8,Man City v West Ham
Crysencio Summerville AM,3 - 6,Man City v West Ham
Mateus Fernandes AM,3 - 6,Man City v West Ham
Lucas Paqueta AM,2.5 - 5,Man City v West Ham
Oliver Scarles AM,2.5 - 5,Man City v West Ham
Kyle Walker-Peters AM,2 - 4,Man City v West Ham
Freddie Potts AM,2 - 4,Man City v West Ham
Callum Wilson AM,1 - 3,Man City v West Ham
Tomas Soucek AM,0.5 - 2,Man City v West Ham
Max Kilman AM,0.5 - 2,Man City v West Ham
Jean-Clair Todibo AM,0.25 - 1.5,Man City v West Ham
Konstantinos Mavropanos AM,0.1 - 1,Man City v West Ham
Igor Julio AM,0.1 - 1,Man City v West Ham
Soungoutou Magassa AM,0.1 - 1,Man City v West Ham
Mohammed Kudus AM,7 - 10,Tottenham v Liverpool
Richarlison AM,3 - 6,Tottenham v Liverpool
Brennan Johnson AM,7 - 10,Tottenham v Liverpool
Xavi Simons AM,5 - 8,Tottenham v Liverpool
Pedro Porro AM,5 - 8,Tottenham v Liverpool
Rodrigo Bentancur AM,1 - 3,Tottenham v Liverpool
Cristian Romero AM,1 - 3,Tottenham v Liverpool
Djed Spence AM,2 - 4,Tottenham v Liverpool
Archie Gray AM,0.5 - 2,Tottenham v Liverpool
Hugo Ekitike AM,2.5 - 5,Tottenham v Liverpool
Florian Wirtz AM,7 - 10,Tottenham v Liverpool
Federico Chiesa AM,9 - 12,Tottenham v Liverpool
Alexis MacAllister AM,5 - 8,Tottenham v Liverpool
Curtis Jones AM,3 - 6,Tottenham v Liverpool
Ryan Gravenberch AM,2.5 - 5,Tottenham v Liverpool
Conor Bradley AM,4 - 7,Tottenham v Liverpool
Milos Kerkez AM,4 - 7,Tottenham v Liverpool
Randal Kolo Muani AM,3 - 6,Tottenham v Liverpool
Lucas Bergvall AM,2.5 - 5,Tottenham v Liverpool
Alexander Isak AM,2.5 - 5,Tottenham v Liverpool
Dwight McNeil AM,7 - 10,Everton v Arsenal
Jack Grealish AM,4 - 7,Everton v Arsenal
Kiernan Dewsbury-Hall AM,3 - 6,Everton v Arsenal
James Garner AM,2.5 - 5,Everton v Arsenal
Nathan Patterson AM,2.5 - 5,Everton v Arsenal
Carlos Alcaraz AM,2 - 4,Everton v Arsenal
Tyler Dibling AM,2 - 4,Everton v Arsenal
Vitaliy Mykolenko AM,1 - 3,Everton v Arsenal
Thierno Barry AM,2 - 4,Everton v Arsenal
Beto AM,2 - 4,Everton v Arsenal
James Tarkowski AM,1 - 3,Everton v Arsenal
Tim Iroegbunam AM,0.5 - 2,Everton v Arsenal
Jake O'Brien AM,0.25 - 1.5,Everton v Arsenal
Michael Keane AM,0.25 - 1.5,Everton v Arsenal
Bukayo Saka AM,11 - 14,Everton v Arsenal
Martin Odegaard AM,10 - 13,Everton v Arsenal
Declan Rice AM,9 - 12,Everton v Arsenal
Eberechi Eze AM,8 - 11,Everton v Arsenal
Gabriel Martinelli AM,7 - 10,Everton v Arsenal
Noni Madueke AM,6 - 9,Everton v Arsenal
Viktor Gyokeres AM,7 - 10,Everton v Arsenal
Gabriel Jesus AM,6 - 9,Everton v Arsenal
Leandro Trossard AM,5 - 8,Everton v Arsenal
Mikel Merino AM,4 - 7,Everton v Arsenal
Ethan Nwaneri AM,3 - 6,Everton v Arsenal
Martin Zubimendi AM,2.5 - 5,Everton v Arsenal
Ben White AM,2.5 - 5,Everton v Arsenal
Riccardo Calafiori AM,2 - 4,Everton v Arsenal
Piero Hincapie AM,2 - 4,Everton v Arsenal
Myles Lewis-Skelly AM,2 - 4,Everton v Arsenal
Christian Norgaard AM,2 - 4,Everton v Arsenal
Jurrien Timber AM,1 - 3,Everton v Arsenal
William Saliba AM,0.25 - 1.5,Everton v Arsenal
Morgan Rogers AM,8 - 11,Aston Villa v Man Utd
Youri Tielemans AM,7 - 10,Aston Villa v Man Utd
Emiliano Buendia AM,7 - 10,Aston Villa v Man Utd
John McGinn AM,6 - 9,Aston Villa v Man Utd
Lucas Digne AM,6 - 9,Aston Villa v Man Utd
Ian Maatsen AM,5 - 8,Aston Villa v Man Utd
Jadon Sancho AM,5 - 8,Aston Villa v Man Utd
Matty Cash AM,4 - 7,Aston Villa v Man Utd
Ollie Watkins AM,4 - 7,Aston Villa v Man Utd
Evann Guessand AM,4 - 7,Aston Villa v Man Utd
Donyell Malen AM,3 - 6,Aston Villa v Man Utd
Boubacar Kamara AM,2 - 4,Aston Villa v Man Utd
Amadou Onana AM,0.5 - 2,Aston Villa v Man Utd
Ezri Konsa AM,0.5 - 2,Aston Villa v Man Utd
Victor Lindelof AM,0.1 - 1,Aston Villa v Man Utd
Bruno Fernandes AM,11 - 14,Aston Villa v Man Utd
Mason Mount AM,5 - 8,Aston Villa v Man Utd
Matheus Cunha AM,4 - 7,Aston Villa v Man Utd
Patrick Dorgu AM,3 - 6,Aston Villa v Man Utd
Diogo Dalot AM,3 - 6,Aston Villa v Man Utd
Joshua Zirkzee AM,2.5 - 5,Aston Villa v Man Utd
Tyrell Malacia AM,2 - 4,Aston Villa v Man Utd
Kobbie Mainoo AM,2 - 4,Aston Villa v Man Utd
Luke Shaw AM,1 - 3,Aston Villa v Man Utd
Benjamin Sesko AM,1 - 3,Aston Villa v Man Utd
Manuel Ugarte AM,1 - 3,Aston Villa v Man Utd
Matthijs de Ligt AM,0.25 - 1.5,Aston Villa v Man Utd
Lisandro Martinez AM,0.25 - 1.5,Aston Villa v Man Utd
Leny Yoro AM,0.25 - 1.5,Aston Villa v Man Utd
Ayden Heaven AM,0.25 - 1.5,Aston Villa v Man Utd
Harry Maguire AM,0.5 - 2,Aston Villa v Man Utd
Harry Wilson AM,10 - 13,Fulham v Nottingham Forest
Sasa Lukic AM,8 - 11,Fulham v Nottingham Forest
Tom Cairney AM,8 - 11,Fulham v Nottingham Forest
Adama Traore AM,8 - 11,Fulham v Nottingham Forest
Kevin AM,7 - 10,Fulham v Nottingham Forest
Joshua King AM,7 - 10,Fulham v Nottingham Forest
Emile Smith Rowe AM,6 - 9,Fulham v Nottingham Forest
Raul Jimenez AM,6 - 9,Fulham v Nottingham Forest
Antonee Robinson AM,5 - 8,Fulham v Nottingham Forest
Sander Berge AM,4 - 7,Fulham v Nottingham Forest
Harrison Reed AM,4 - 7,Fulham v Nottingham Forest
Kenny Tete AM,3 - 6,Fulham v Nottingham Forest
Timothy Castagne AM,3 - 6,Fulham v Nottingham Forest
Jorge Cuenca AM,2 - 4,Fulham v Nottingham Forest
Joachim Andersen AM,2 - 4,Fulham v Nottingham Forest
Issa Diop AM,1 - 3,Fulham v Nottingham Forest
Elliot Anderson AM,8 - 11,Fulham v Nottingham Forest
Morgan Gibbs-White AM,8 - 11,Fulham v Nottingham Forest
Omari Hutchinson AM,7 - 10,Fulham v Nottingham Forest
Dan Ndoye AM,7 - 10,Fulham v Nottingham Forest
James McAtee AM,7 - 10,Fulham v Nottingham Forest
Arnaud Kalimuendo AM,5 - 8,Fulham v Nottingham Forest
Igor Jesus AM,5 - 8,Fulham v Nottingham Forest
Callum Hudson-Odoi AM,5 - 8,Fulham v Nottingham Forest
Douglas Luiz AM,5 - 8,Fulham v Nottingham Forest
Neco Williams AM,3 - 6,Fulham v Nottingham Forest
Nicolo Savona AM,3 - 6,Fulham v Nottingham Forest
Murillo AM,3 - 6,Fulham v Nottingham Forest
Oleksandr Zinchenko AM,3 - 6,Fulham v Nottingham Forest
Morato AM,2 - 4,Fulham v Nottingham Forest
Zach Abbott AM,2 - 4,Fulham v Nottingham Forest
Nikola Milenkovic AM,1 - 3,Fulham v Nottingham Forest
