AM_names,AM_odds,contest
Jarrod Bowen AM,10 - 13,West Ham v Nottingham Forest
Crysencio Summerville AM,7 - 10,West Ham v Nottingham Forest
Lucas Paqueta AM,7 - 10,West Ham v Nottingham Forest
Valentin Castellanos AM,5 - 8,West Ham v Nottingham Forest
Mateus Fernandes AM,5 - 8,West Ham v Nottingham Forest
Oliver Scarles AM,3 - 6,West Ham v Nottingham Forest
Freddie Potts AM,3 - 6,West Ham v Nottingham Forest
Kyle Walker-Peters AM,3 - 6,West Ham v Nottingham Forest
Pablo Felipe AM,3 - 6,West Ham v Nottingham Forest
Soungoutou Magassa AM,2 - 4,West Ham v Nottingham Forest
Callum Wilson AM,1 - 3,West Ham v Nottingham Forest
Tomas Soucek AM,1 - 3,West Ham v Nottingham Forest
Max Kilman AM,1 - 3,West Ham v Nottingham Forest
Jean-Clair Todibo AM,1 - 3,West Ham v Nottingham Forest
Konstantinos Mavropanos AM,1 - 3,West Ham v Nottingham Forest
Omari Hutchinson AM,9 - 12,West Ham v Nottingham Forest
Dilane Bakwa AM,7 - 10,West Ham v Nottingham Forest
Dan Ndoye AM,7 - 10,West Ham v Nottingham Forest
Morgan Gibbs-White AM,7 - 10,West Ham v Nottingham Forest
Elliot Anderson AM,7 - 10,West Ham v Nottingham Forest
James McAtee AM,7 - 10,West Ham v Nottingham Forest
Callum Hudson-Odoi AM,7 - 10,West Ham v Nottingham Forest
Oleksandr Zinchenko AM,4 - 7,West Ham v Nottingham Forest
Douglas Luiz AM,4 - 7,West Ham v Nottingham Forest
Taiwo Awoniyi AM,4 - 7,West Ham v Nottingham Forest
Nicolas Dominguez AM,3 - 6,West Ham v Nottingham Forest
Neco Williams AM,3 - 6,West Ham v Nottingham Forest
Igor Jesus AM,3 - 6,West Ham v Nottingham Forest
Nicolo Savona AM,2 - 4,West Ham v Nottingham Forest
Ola Aina AM,2 - 4,West Ham v Nottingham Forest
Nikola Milenkovic AM,1 - 3,West Ham v Nottingham Forest
Murillo AM,1 - 3,West Ham v Nottingham Forest
Rayan Cherki AM,17 - 20,Man City v Brighton
Jeremy Doku AM,14 - 17,Man City v Brighton
Phil Foden AM,10 - 13,Man City v Brighton
Savinho AM,7 - 10,Man City v Brighton
Tijjani Reijnders AM,6 - 9,Man City v Brighton
Bernardo Silva AM,5 - 8,Man City v Brighton
Matheus Nunes AM,5 - 8,Man City v Brighton
Rodri AM,4 - 7,Man City v Brighton
Erling Haaland AM,4 - 7,Man City v Brighton
Nico O'Reilly AM,3 - 6,Man City v Brighton
Nathan Ake AM,1 - 3,Man City v Brighton
Josko Gvardiol AM,1 - 3,Man City v Brighton
Nico Gonzalez AM,1 - 3,Man City v Brighton
Ruben Dias AM,0.5 - 2,Man City v Brighton
Abdukodir Khusanov AM,0.5 - 2,Man City v Brighton
John Stones AM,0.25 - 1.5,Man City v Brighton
Brajan Gruda AM,4 - 7,Man City v Brighton
Yankuba Minteh AM,4 - 7,Man City v Brighton
Maxime De Cuyper AM,4 - 7,Man City v Brighton
Charalampos Kostoulas AM,3 - 6,Man City v Brighton
Kaoru Mitoma AM,3 - 6,Man City v Brighton
Georginio Rutter AM,2.5 - 5,Man City v Brighton
Diego Gomez AM,2 - 4,Man City v Brighton
Yasin Ayari AM,2 - 4,Man City v Brighton
James Milner AM,2 - 4,Man City v Brighton
Ferdi Kadioglu AM,1 - 3,Man City v Brighton
Danny Welbeck AM,1 - 3,Man City v Brighton
Joel Veltman AM,0.5 - 2,Man City v Brighton
Jan Paul van Hecke AM,0.5 - 2,Man City v Brighton
Lewis Dunk AM,0.1 - 1,Man City v Brighton
