AM_names,AM_odds,contest
Jarrod Bowen AM,9 - 12,West Ham v Sunderland
Lucas Paqueta AM,8 - 11,West Ham v Sunderland
Crysencio Summerville AM,6 - 9,West Ham v Sunderland
El Hadji Malick Diouf AM,4 - 7,West Ham v Sunderland
Mateus Fernandes AM,4 - 7,West Ham v Sunderland
Taty Castellanos AM,4 - 7,West Ham v Sunderland
Pablo AM,4 - 7,West Ham v Sunderland
Aaron Wan-Bissaka AM,4 - 7,West Ham v Sunderland
Oliver Scarles AM,4 - 7,West Ham v Sunderland
Kyle Walker-Peters AM,3 - 6,West Ham v Sunderland
Freddie Potts AM,3 - 6,West Ham v Sunderland
Callum Wilson AM,2 - 4,West Ham v Sunderland
Tomas Soucek AM,2 - 4,West Ham v Sunderland
Soungoutou Magassa AM,1 - 3,West Ham v Sunderland
Jean-Clair Todibo AM,1 - 3,West Ham v Sunderland
Max Kilman AM,1 - 3,West Ham v Sunderland
Guido Rodriguez AM,0.5 - 2,West Ham v Sunderland
Igor Julio AM,0.5 - 2,West Ham v Sunderland
Konstantinos Mavropanos AM,0.1 - 1,West Ham v Sunderland
Enzo Le Fee AM,8 - 11,West Ham v Sunderland
Granit Xhaka AM,6 - 9,West Ham v Sunderland
Eliezer Mayenda AM,5 - 8,West Ham v Sunderland
Simon Adingra AM,5 - 8,West Ham v Sunderland
Trai Hume AM,4 - 7,West Ham v Sunderland
Brian Brobbey AM,3 - 6,West Ham v Sunderland
Romaine Mundle AM,3 - 6,West Ham v Sunderland
Nordi Mukiele AM,3 - 6,West Ham v Sunderland
Chris Rigg AM,3 - 6,West Ham v Sunderland
Chemsdine Talbi AM,2.5 - 5,West Ham v Sunderland
Wilson Isidor AM,2 - 4,West Ham v Sunderland
Habib Diarra AM,2 - 4,West Ham v Sunderland
Noah Sadiki AM,1 - 3,West Ham v Sunderland
Dennis Cirkin AM,1 - 3,West Ham v Sunderland
Lutsharel Geertruida AM,1 - 3,West Ham v Sunderland
Daniel Ballard AM,1 - 3,West Ham v Sunderland
Omar Alderete AM,1 - 3,West Ham v Sunderland
Reinildo Mandava AM,0.5 - 2,West Ham v Sunderland
Luke O'Nien AM,0.5 - 2,West Ham v Sunderland
Antoine Semenyo AM,10 - 13,Man City v Wolves
Jeremy Doku AM,21 - 24,Man City v Wolves
Phil Foden AM,17 - 20,Man City v Wolves
Rodri AM,5 - 8,Man City v Wolves
Bernardo Silva AM,10 - 13,Man City v Wolves
Erling Haaland AM,6 - 9,Man City v Wolves
Rico Lewis AM,10 - 13,Man City v Wolves
Tijjani Reijnders AM,6 - 9,Man City v Wolves
