AM_names,AM_odds,contest
Rayan Cherki AM,16 - 19,Man City v Leeds
Jeremy Doku AM,13 - 16,Man City v Leeds
Savinho AM,12 - 15,Man City v Leeds
Phil Foden AM,12 - 15,Man City v Leeds
Oscar Bobb AM,11 - 14,Man City v Leeds
Omar Marmoush AM,10 - 13,Man City v Leeds
Bernardo Silva AM,7 - 10,Man City v Leeds
Rayan Ait-Nouri AM,7 - 10,Man City v Leeds
Matheus Nunes AM,5 - 8,Man City v Leeds
Rico Lewis AM,4 - 7,Man City v Leeds
Tijjani Reijnders AM,4 - 7,Man City v Leeds
Nico O'Reilly AM,4 - 7,Man City v Leeds
Erling Haaland AM,3 - 6,Man City v Leeds
Josko Gvardiol AM,2 - 4,Man City v Leeds
Nico Gonzalez AM,1 - 3,Man City v Leeds
Nathan Ake AM,1 - 3,Man City v Leeds
Abdukodir Khusanov AM,0.5 - 2,Man City v Leeds
Ruben Dias AM,0.5 - 2,Man City v Leeds
John Stones AM,0.25 - 1.5,Man City v Leeds
Daniel James AM,3 - 6,Man City v Leeds
Brenden Aaronson AM,3 - 6,Man City v Leeds
Noah Okafor AM,2 - 4,Man City v Leeds
Anton Stach AM,2 - 4,Man City v Leeds
Sean Longstaff AM,2 - 4,Man City v Leeds
Jayden Bogle AM,1 - 3,Man City v Leeds
Gabriel Gudmundsson AM,1 - 3,Man City v Leeds
Wilfried Gnonto AM,1 - 3,Man City v Leeds
Dominic Calvert-Lewin AM,1 - 3,Man City v Leeds
Joel Piroe AM,1 - 3,Man City v Leeds
Lukas Nmecha AM,0.5 - 2,Man City v Leeds
Ao Tanaka AM,0.5 - 2,Man City v Leeds
Ethan Ampadu AM,0.5 - 2,Man City v Leeds
Pascal Struijk AM,0.1 - 1,Man City v Leeds
Joe Rodon AM,0.1 - 1,Man City v Leeds
Jack Grealish AM,9 - 12,Everton v Newcastle
Kiernan Dewsbury-Hall AM,7 - 10,Everton v Newcastle
James Garner AM,6 - 9,Everton v Newcastle
Iliman Ndiaye AM,4 - 7,Everton v Newcastle
Carlos Alcaraz AM,2.5 - 5,Everton v Newcastle
Vitaliy Mykolenko AM,2.5 - 5,Everton v Newcastle
Thierno Barry AM,2 - 4,Everton v Newcastle
Beto AM,1 - 3,Everton v Newcastle
Jake O'Brien AM,1 - 3,Everton v Newcastle
Tim Iroegbunam AM,1 - 3,Everton v Newcastle
James Tarkowski AM,1 - 3,Everton v Newcastle
Michael Keane AM,0.5 - 2,Everton v Newcastle
Jacob Murphy AM,8 - 11,Everton v Newcastle
Harvey Barnes AM,8 - 11,Everton v Newcastle
Anthony Gordon AM,5 - 8,Everton v Newcastle
Bruno Guimaraes AM,4 - 7,Everton v Newcastle
Sandro Tonali AM,6 - 9,Everton v Newcastle
Lewis Hall AM,4 - 7,Everton v Newcastle
Joe Willock AM,3 - 6,Everton v Newcastle
Nick Woltemade AM,3 - 6,Everton v Newcastle
Lewis Miley AM,3 - 6,Everton v Newcastle
Tino Livramento AM,2 - 4,Everton v Newcastle
Joelinton AM,2 - 4,Everton v Newcastle
Malick Thiaw AM,1 - 3,Everton v Newcastle
Dan Burn AM,0.5 - 2,Everton v Newcastle
Sven Botman AM,0.5 - 2,Everton v Newcastle
Fabian Schar AM,0.1 - 1,Everton v Newcastle
Mohammed Kudus AM,9 - 12,Tottenham v Fulham
Xavi Simons AM,8 - 11,Tottenham v Fulham
Pedro Porro AM,7 - 10,Tottenham v Fulham
Wilson Odobert AM,7 - 10,Tottenham v Fulham
Brennan Johnson AM,5 - 8,Tottenham v Fulham
Mathys Tel AM,3 - 6,Tottenham v Fulham
Randal Kolo Muani AM,3 - 6,Tottenham v Fulham
Lucas Bergvall AM,2.5 - 5,Tottenham v Fulham
Richarlison AM,2.5 - 5,Tottenham v Fulham
Djed Spence AM,2.5 - 5,Tottenham v Fulham
Destiny Udogie AM,2 - 4,Tottenham v Fulham
Rodrigo Bentancur AM,1 - 3,Tottenham v Fulham
Joao Palhinha AM,0.5 - 2,Tottenham v Fulham
Kevin AM,6 - 9,Tottenham v Fulham
Samuel Chukwueze AM,5 - 8,Tottenham v Fulham
Harry Wilson AM,4 - 7,Tottenham v Fulham
Alex Iwobi AM,4 - 7,Tottenham v Fulham
Ryan Sessegnon AM,3 - 6,Tottenham v Fulham
Raul Jimenez AM,2.5 - 5,Tottenham v Fulham
Sasa Lukic AM,2.5 - 5,Tottenham v Fulham
Kenny Tete AM,2 - 4,Tottenham v Fulham
