AM_namesX10,AM_oddsX10,contest
Martin Odegaard Ax10,2.8 - 3.3,Arsenal v Nottingham Forest
Eberechi Eze Ax10,2.8 - 3.3,Arsenal v Nottingham Forest
Declan Rice Ax10,2.4 - 2.8,Arsenal v Nottingham Forest
Noni Madueke Ax10,2.3 - 2.7,Arsenal v Nottingham Forest
Viktor Gyokeres Ax10,2.1 - 2.5,Arsenal v Nottingham Forest
Morgan Gibbs-White Ax10,1 - 1.3,Arsenal v Nottingham Forest
Riccardo Calafiori Ax10,0.9 - 1.2,Arsenal v Nottingham Forest
Martin Zubimendi Ax10,0.9 - 1.2,Arsenal v Nottingham Forest
Elliot Anderson Ax10,0.75 - 1,Arsenal v Nottingham Forest
Callum Hudson-Odoi Ax10,0.75 - 1,Arsenal v Nottingham Forest
Dan Ndoye Ax10,0.7 - 0.9,Arsenal v Nottingham Forest
Jurrien Timber Ax10,0.6 - 0.8,Arsenal v Nottingham Forest
Neco Williams Ax10,0.4 - 0.6,Arsenal v Nottingham Forest
Chris Wood Ax10,0.3 - 0.5,Arsenal v Nottingham Forest
Nicolo Savona Ax10,0.3 - 0.5,Arsenal v Nottingham Forest
Cristhian Mosquera Ax10,0.3 - 0.5,Arsenal v Nottingham Forest
Murillo Ax10,0.1 - 0.3,Arsenal v Nottingham Forest
Nikola Milenkovic Ax10,0 - 0.2,Arsenal v Nottingham Forest
Gabriel Martinelli Ax10,1.6 - 2,Arsenal v Nottingham Forest
Myles Lewis-Skelly Ax10,0.3 - 0.5,Arsenal v Nottingham Forest
Ibrahim Sangare Ax10,0.3 - 0.5,Arsenal v Nottingham Forest
Morato Ax10,0.1 - 0.3,Arsenal v Nottingham Forest
Gabriel Magalhaes Ax10,0.3 - 0.5,Arsenal v Nottingham Forest
William Saliba Ax10,0.2 - 0.4,Arsenal v Nottingham Forest
Kaoru Mitoma Ax10,1.9 - 2.3,Bournemouth v Brighton
Marcus Tavernier Ax10,1.7 - 2.1,Bournemouth v Brighton
David Brooks Ax10,1.8 - 2.2,Bournemouth v Brighton
Evanilson Ax10,1.8 - 2.2,Bournemouth v Brighton
Ryan Christie Ax10,1.8 - 2.2,Bournemouth v Brighton
Georginio Rutter Ax10,1.7 - 2.1,Bournemouth v Brighton
Yankuba Minteh Ax10,1.6 - 2,Bournemouth v Brighton
Antoine Semenyo Ax10,1.6 - 1.9,Bournemouth v Brighton
Danny Welbeck Ax10,1.6 - 1.9,Bournemouth v Brighton
Adrien Truffert Ax10,1.4 - 1.7,Bournemouth v Brighton
Maxime De Cuyper Ax10,1.4 - 1.7,Bournemouth v Brighton
Marcos Senesi Ax10,1.1 - 1.4,Bournemouth v Brighton
James Hill Ax10,1.1 - 1.4,Bournemouth v Brighton
Bafode Diakite Ax10,0.9 - 1.2,Bournemouth v Brighton
Carlos Baleba Ax10,0.9 - 1.2,Bournemouth v Brighton
Tyler Adams Ax10,0.9 - 1.2,Bournemouth v Brighton
Jack Hinshelwood Ax10,0.75 - 1,Bournemouth v Brighton
Joel Veltman Ax10,0.7 - 0.9,Bournemouth v Brighton
Jan Paul van Hecke Ax10,0.5 - 0.7,Bournemouth v Brighton
Yeremy Pino Ax10,2.8 - 3.3,Crystal Palace v Sunderland
Jean-Philippe Mateta Ax10,2.6 - 3,Crystal Palace v Sunderland
Tyrick Mitchell Ax10,1.8 - 2.2,Crystal Palace v Sunderland
Daniel Munoz Ax10,1.7 - 2.1,Crystal Palace v Sunderland
Daichi Kamada Ax10,1.7 - 2.1,Crystal Palace v Sunderland
Will Hughes Ax10,1.4 - 1.7,Crystal Palace v Sunderland
Eliezer Mayenda Ax10,1.2 - 1.5,Crystal Palace v Sunderland
Habib Diarra Ax10,1 - 1.3,Crystal Palace v Sunderland
Maxence Lacroix Ax10,1 - 1.3,Crystal Palace v Sunderland
Chemsdine Talbi Ax10,0.9 - 1.2,Crystal Palace v Sunderland
Granit Xhaka Ax10,0.7 - 0.9,Crystal Palace v Sunderland
Enzo Le Fee Ax10,0.7 - 0.9,Crystal Palace v Sunderland
