AM_names,AM_odds,contest
Lucas Pires AM,6 - 9,Burnley v Chelsea
Jaidon Anthony AM,5 - 8,Burnley v Chelsea
Quilindschy Hartman AM,3 - 6,Burnley v Chelsea
Jacob Bruun Larsen AM,3 - 6,Burnley v Chelsea
Zian Flemming AM,2.5 - 5,Burnley v Chelsea
Josh Laurent AM,2 - 4,Burnley v Chelsea
Josh Cullen AM,2 - 4,Burnley v Chelsea
Loum Tchaouna AM,1 - 3,Burnley v Chelsea
Kyle Walker AM,1 - 3,Burnley v Chelsea
Lesley Ugochukwu AM,1 - 3,Burnley v Chelsea
Axel Tuanzebe AM,0.5 - 2,Burnley v Chelsea
Florentino Luis AM,0.25 - 1.5,Burnley v Chelsea
Maxime Esteve AM,0.1 - 1,Burnley v Chelsea
Pedro Neto AM,11 - 14,Burnley v Chelsea
Estevao AM,11 - 14,Burnley v Chelsea
Alejandro Garnacho AM,10 - 13,Burnley v Chelsea
Enzo Fernandez AM,7 - 10,Burnley v Chelsea
Joao Pedro AM,6 - 9,Burnley v Chelsea
Reece James AM,5 - 8,Burnley v Chelsea
Jamie Gittens AM,4 - 7,Burnley v Chelsea
Marc Cucurella AM,4 - 7,Burnley v Chelsea
Malo Gusto AM,3 - 6,Burnley v Chelsea
Andrey Santos AM,2.5 - 5,Burnley v Chelsea
Moises Caicedo AM,2.5 - 5,Burnley v Chelsea
Liam Delap AM,2.5 - 5,Burnley v Chelsea
Trevoh Chalobah AM,1 - 3,Burnley v Chelsea
Tosin Adarabioyo AM,0.5 - 2,Burnley v Chelsea
Wesley Fofana AM,0.1 - 1,Burnley v Chelsea
Lucas Pires AM,6 - 9,Burnley v Chelsea
Jaidon Anthony AM,5 - 8,Burnley v Chelsea
Quilindschy Hartman AM,3 - 6,Burnley v Chelsea
Jacob Bruun Larsen AM,3 - 6,Burnley v Chelsea
Zian Flemming AM,2.5 - 5,Burnley v Chelsea
Josh Laurent AM,2 - 4,Burnley v Chelsea
Josh Cullen AM,2 - 4,Burnley v Chelsea
Loum Tchaouna AM,1 - 3,Burnley v Chelsea
Kyle Walker AM,1 - 3,Burnley v Chelsea
Lesley Ugochukwu AM,1 - 3,Burnley v Chelsea
Axel Tuanzebe AM,0.5 - 2,Burnley v Chelsea
Florentino Luis AM,0.25 - 1.5,Burnley v Chelsea
Maxime Esteve AM,0.1 - 1,Burnley v Chelsea
Pedro Neto AM,11 - 14,Burnley v Chelsea
Estevao AM,11 - 14,Burnley v Chelsea
Alejandro Garnacho AM,10 - 13,Burnley v Chelsea
Enzo Fernandez AM,7 - 10,Burnley v Chelsea
Joao Pedro AM,6 - 9,Burnley v Chelsea
Reece James AM,5 - 8,Burnley v Chelsea
Jamie Gittens AM,4 - 7,Burnley v Chelsea
Marc Cucurella AM,4 - 7,Burnley v Chelsea
Malo Gusto AM,3 - 6,Burnley v Chelsea
Andrey Santos AM,2.5 - 5,Burnley v Chelsea
Moises Caicedo AM,2.5 - 5,Burnley v Chelsea
Liam Delap AM,2.5 - 5,Burnley v Chelsea
Trevoh Chalobah AM,1 - 3,Burnley v Chelsea
Tosin Adarabioyo AM,0.5 - 2,Burnley v Chelsea
Wesley Fofana AM,0.1 - 1,Burnley v Chelsea
Federico Chiesa AM,15 - 18,Liverpool v Nottingham Forest
Florian Wirtz AM,13 - 16,Liverpool v Nottingham Forest
Mohamed Salah AM,13 - 16,Liverpool v Nottingham Forest
Cody Gakpo AM,9 - 12,Liverpool v Nottingham Forest
Dominik Szoboszlai AM,8 - 11,Liverpool v Nottingham Forest
Conor Bradley AM,7 - 10,Liverpool v Nottingham Forest
Andrew Robertson AM,7 - 10,Liverpool v Nottingham Forest
Hugo Ekitike AM,5 - 8,Liverpool v Nottingham Forest
Alexander Isak AM,5 - 8,Liverpool v Nottingham Forest
Alexis MacAllister AM,4 - 7,Liverpool v Nottingham Forest
Milos Kerkez AM,4 - 7,Liverpool v Nottingham Forest
Ryan Gravenberch AM,2.5 - 5,Liverpool v Nottingham Forest
Curtis Jones AM,2.5 - 5,Liverpool v Nottingham Forest
Wataru Endo AM,1 - 3,Liverpool v Nottingham Forest
Ibrahima Konate AM,1 - 3,Liverpool v Nottingham Forest
Joe Gomez AM,0.5 - 2,Liverpool v Nottingham Forest
Virgil van Dijk AM,0.5 - 2,Liverpool v Nottingham Forest
Morgan Gibbs-White AM,6 - 9,Liverpool v Nottingham Forest
Omari Hutchinson AM,4 - 7,Liverpool v Nottingham Forest
Dan Ndoye AM,4 - 7,Liverpool v Nottingham Forest
Callum Hudson-Odoi AM,4 - 7,Liverpool v Nottingham Forest
Elliot Anderson AM,3 - 6,Liverpool v Nottingham Forest
James McAtee AM,3 - 6,Liverpool v Nottingham Forest
Arnaud Kalimuendo AM,2 - 4,Liverpool v Nottingham Forest
Neco Williams AM,2 - 4,Liverpool v Nottingham Forest
Oleksandr Zinchenko AM,1 - 3,Liverpool v Nottingham Forest
Taiwo Awoniyi AM,1 - 3,Liverpool v Nottingham Forest
Nicolas Dominguez AM,1 - 3,Liverpool v Nottingham Forest
Igor Jesus AM,1 - 3,Liverpool v Nottingham Forest
Chris Wood AM,1 - 3,Liverpool v Nottingham Forest
Ibrahim Sangare AM,0.5 - 2,Liverpool v Nottingham Forest
Ryan Yates AM,0.5 - 2,Liverpool v Nottingham Forest
Nicolo Savona AM,0.5 - 2,Liverpool v Nottingham Forest
Jair Cunha AM,0.25 - 1.5,Liverpool v Nottingham Forest
Morato AM,0.25 - 1.5,Liverpool v Nottingham Forest
Willy Boly AM,0.25 - 1.5,Liverpool v Nottingham Forest
Nikola Milenkovic AM,0.1 - 1,Liverpool v Nottingham Forest
Murillo AM,0.1 - 1,Liverpool v Nottingham Forest
Harvey Barnes AM,8 - 11,Newcastle v Man City
Anthony Elanga AM,8 - 11,Newcastle v Man City
Jacob Murphy AM,7 - 10,Newcastle v Man City
Anthony Gordon AM,7 - 10,Newcastle v Man City
Sandro Tonali AM,5 - 8,Newcastle v Man City
Nick Woltemade AM,4 - 7,Newcastle v Man City
Bruno Guimaraes AM,4 - 7,Newcastle v Man City
Joelinton AM,4 - 7,Newcastle v Man City
Lewis Hall AM,4 - 7,Newcastle v Man City
Kieran Trippier AM,4 - 7,Newcastle v Man City
Lewis Miley AM,4 - 7,Newcastle v Man City
Joe Willock AM,4 - 7,Newcastle v Man City
Jacob Ramsey AM,4 - 7,Newcastle v Man City
Jamaal Lascelles AM,2 - 4,Newcastle v Man City
Sven Botman AM,1 - 3,Newcastle v Man City
Emil Krafth AM,1 - 3,Newcastle v Man City
Fabian Schar AM,1 - 3,Newcastle v Man City
Malick Thiaw AM,1 - 3,Newcastle v Man City
Rayan Cherki AM,11 - 14,Newcastle v Man City
Jeremy Doku AM,11 - 14,Newcastle v Man City
Omar Marmoush AM,11 - 14,Newcastle v Man City
Phil Foden AM,10 - 13,Newcastle v Man City
Savinho AM,10 - 13,Newcastle v Man City
Oscar Bobb AM,8 - 11,Newcastle v Man City
Bernardo Silva AM,7 - 10,Newcastle v Man City
Rayan Ait-Nouri AM,5 - 8,Newcastle v Man City
Tijjani Reijnders AM,5 - 8,Newcastle v Man City
Erling Haaland AM,4 - 7,Newcastle v Man City
Matheus Nunes AM,3 - 6,Newcastle v Man City
Nico Gonzalez AM,3 - 6,Newcastle v Man City
Nico O'Reilly AM,3 - 6,Newcastle v Man City
Rico Lewis AM,3 - 6,Newcastle v Man City
Josko Gvardiol AM,3 - 6,Newcastle v Man City
John Stones AM,2 - 4,Newcastle v Man City
Nathan Ake AM,1 - 3,Newcastle v Man City
Ruben Dias AM,1 - 3,Newcastle v Man City
Daniel James AM,8 - 11,Leeds v Aston Villa
Brenden Aaronson AM,7 - 10,Leeds v Aston Villa
Jack Harrison AM,6 - 9,Leeds v Aston Villa
Noah Okafor AM,6 - 9,Leeds v Aston Villa
Gabriel Gudmondsson AM,5 - 8,Leeds v Aston Villa
Jayden Bogle AM,4 - 7,Leeds v Aston Villa
Anton Stach AM,2.5 - 5,Leeds v Aston Villa
Dominic Calvert-Lewin AM,2.5 - 5,Leeds v Aston Villa
Lukas Nmecha AM,2.5 - 5,Leeds v Aston Villa
Sean Longstaff AM,2 - 4,Leeds v Aston Villa
Ethan Ampadu AM,1 - 3,Leeds v Aston Villa
Joe Rodon AM,1 - 3,Leeds v Aston Villa
Jaka Bijol AM,1 - 3,Leeds v Aston Villa
Emiliano Buendia AM,8 - 11,Leeds v Aston Villa
Morgan Rogers AM,7 - 10,Leeds v Aston Villa
Youri Tielemans AM,7 - 10,Leeds v Aston Villa
Donyell Malen AM,6 - 9,Leeds v Aston Villa
Lucas Digne AM,5 - 8,Leeds v Aston Villa
John McGinn AM,5 - 8,Leeds v Aston Villa
Ollie Watkins AM,4 - 7,Leeds v Aston Villa
Matty Cash AM,4 - 7,Leeds v Aston Villa
Boubacar Kamara AM,2 - 4,Leeds v Aston Villa
Amadou Onana AM,1 - 3,Leeds v Aston Villa
Ezri Konsa AM,1 - 3,Leeds v Aston Villa
Pau Torres AM,0.5 - 2,Leeds v Aston Villa
Bukayo Saka AM,11 - 14,Arsenal v Tottenham
Eberechi Eze AM,8 - 11,Arsenal v Tottenham
Declan Rice AM,7 - 10,Arsenal v Tottenham
Viktor Gyokeres AM,4 - 7,Arsenal v Tottenham
Leandro Trossard AM,4 - 7,Arsenal v Tottenham
Mikel Merino AM,4 - 7,Arsenal v Tottenham
Martin Zubimendi AM,3 - 6,Arsenal v Tottenham
Riccardo Calafiori AM,3 - 6,Arsenal v Tottenham
Piero Hincapie AM,3 - 6,Arsenal v Tottenham
Jurrien Timber AM,1 - 3,Arsenal v Tottenham
William Saliba AM,0.5 - 2,Arsenal v Tottenham
Cristhian Mosquera AM,0.1 - 1,Arsenal v Tottenham
Mohammed Kudus AM,4 - 7,Arsenal v Tottenham
Xavi Simons AM,4 - 7,Arsenal v Tottenham
Wilson Odobert AM,3 - 6,Arsenal v Tottenham
Pedro Porro AM,2.5 - 5,Arsenal v Tottenham
Mathys Tel AM,2.5 - 5,Arsenal v Tottenham
Brennan Johnson AM,2 - 4,Arsenal v Tottenham
Richarlison AM,1 - 3,Arsenal v Tottenham
Pape Sarr AM,1 - 3,Arsenal v Tottenham
Destiny Udogie AM,0.5 - 2,Arsenal v Tottenham
Cristian Romero AM,0.5 - 2,Arsenal v Tottenham
Micky van de Ven AM,0.5 - 2,Arsenal v Tottenham
Rodrigo Bentancur AM,0.25 - 1.5,Arsenal v Tottenham
Joao Palhinha AM,0.1 - 1,Arsenal v Tottenham
Matheus Cunha AM,15 - 18,Man Utd v Everton
Bryan Mbeumo AM,13 - 16,Man Utd v Everton
Bruno Fernandes AM,11 - 14,Man Utd v Everton
Amad Diallo AM,9 - 12,Man Utd v Everton
Patrick Dorgu AM,6 - 9,Man Utd v Everton
Mason Mount AM,5 - 8,Man Utd v Everton
Joshua Zirkzee AM,5 - 8,Man Utd v Everton
Diogo Dalot AM,5 - 8,Man Utd v Everton
Casemiro AM,5 - 8,Man Utd v Everton
Manuel Ugarte AM,4 - 7,Man Utd v Everton
Kobbie Mainoo AM,4 - 7,Man Utd v Everton
Luke Shaw AM,3 - 6,Man Utd v Everton
Noussair Mazraoui AM,3 - 6,Man Utd v Everton
Ayden Heaven AM,2 - 4,Man Utd v Everton
Leny Yoro AM,1 - 3,Man Utd v Everton
Matthijs de Ligt AM,1 - 3,Man Utd v Everton
Jack Grealish AM,10 - 13,Man Utd v Everton
Kiernan Dewsbury-Hall AM,6 - 9,Man Utd v Everton
Carlos Alcaraz AM,6 - 9,Man Utd v Everton
Dwight McNeil AM,6 - 9,Man Utd v Everton
Iliman Ndiaye AM,5 - 8,Man Utd v Everton
Tyler Dibling AM,4 - 7,Man Utd v Everton
Thierno Barry AM,4 - 7,Man Utd v Everton
James Garner AM,3 - 6,Man Utd v Everton
