AM_names,AM_odds,contest
Mikkel Damsgaard AM,7 - 10,Brentford v Man Utd
Mathias Jensen AM,6 - 9,Brentford v Man Utd
Dango Ouattara AM,5 - 8,Brentford v Man Utd
Reiss Nelson AM,4 - 7,Brentford v Man Utd
Michael Kayode AM,4 - 7,Brentford v Man Utd
Kevin Schade AM,3 - 6,Brentford v Man Utd
Keane Lewis-Potter AM,3 - 6,Brentford v Man Utd
Fabio Carvalho AM,3 - 6,Brentford v Man Utd
Igor Thiago AM,2.5 - 5,Brentford v Man Utd
Jordan Henderson AM,2.5 - 5,Brentford v Man Utd
Rico Henry AM,2 - 4,Brentford v Man Utd
Aaron Hickey AM,2 - 4,Brentford v Man Utd
Frank Onyeka AM,2 - 4,Brentford v Man Utd
Vitaly Janelt AM,2 - 4,Brentford v Man Utd
Antoni Milambo AM,2 - 4,Brentford v Man Utd
Yehor Yarmolyuk AM,1 - 3,Brentford v Man Utd
Sepp van den Berg AM,1 - 3,Brentford v Man Utd
Nathan Collins AM,1 - 3,Brentford v Man Utd
Ethan Pinnock AM,0.5 - 2,Brentford v Man Utd
Kristoffer Ajer AM,0.5 - 2,Brentford v Man Utd
Bruno Fernandes AM,11 - 14,Brentford v Man Utd
Bryan Mbeumo AM,9 - 12,Brentford v Man Utd
Amad Diallo AM,7 - 10,Brentford v Man Utd
Matheus Cunha AM,7 - 10,Brentford v Man Utd
Patrick Dorgu AM,5 - 8,Brentford v Man Utd
Mason Mount AM,4 - 7,Brentford v Man Utd
Diogo Dalot AM,4 - 7,Brentford v Man Utd
Joshua Zirkzee AM,3 - 6,Brentford v Man Utd
Benjamin Sesko AM,3 - 6,Brentford v Man Utd
Luke Shaw AM,2.5 - 5,Brentford v Man Utd
Noussair Mazraoui AM,2 - 4,Brentford v Man Utd
Kobbie Mainoo AM,2 - 4,Brentford v Man Utd
Manuel Ugarte AM,1 - 3,Brentford v Man Utd
Harry Maguire AM,1 - 3,Brentford v Man Utd
Leny Yoro AM,1 - 3,Brentford v Man Utd
Matthijs de Ligt AM,0.5 - 2,Brentford v Man Utd
Ayden Heaven AM,0.5 - 2,Brentford v Man Utd
Andrey Santos AM,6 - 9,Chelsea v Brighton
Trevoh Chalobah AM,0.25 - 1.5,Chelsea v Brighton
