AM_names,AM_odds,contest
Mohammed Kudus AM,9 - 12,Tottenham v Man Utd
Xavi Simons AM,7 - 10,Tottenham v Man Utd
Wilson Odobert AM,5 - 8,Tottenham v Man Utd
Pedro Porro AM,5 - 8,Tottenham v Man Utd
Randal Kolo Muani AM,5 - 8,Tottenham v Man Utd
Brennan Johnson AM,4 - 7,Tottenham v Man Utd
Djed Spence AM,2 - 4,Tottenham v Man Utd
Richarlison AM,2 - 4,Tottenham v Man Utd
Rodrigo Bentancur AM,1 - 3,Tottenham v Man Utd
Micky van de Ven AM,1 - 3,Tottenham v Man Utd
Cristian Romero AM,0.5 - 2,Tottenham v Man Utd
Joao Palhinha AM,0.25 - 1.5,Tottenham v Man Utd
Bruno Fernandes AM,13 - 16,Tottenham v Man Utd
Bryan Mbeumo AM,12 - 15,Tottenham v Man Utd
Matheus Cunha AM,9 - 12,Tottenham v Man Utd
Amad Diallo AM,7 - 10,Tottenham v Man Utd
Diogo Dalot AM,6 - 9,Tottenham v Man Utd
Luke Shaw AM,4 - 7,Tottenham v Man Utd
Benjamin Sesko AM,2.5 - 5,Tottenham v Man Utd
Casemiro AM,3 - 6,Tottenham v Man Utd
Matthijs De Ligt AM,2 - 4,Tottenham v Man Utd
Harry Maguire AM,0.5 - 2,Tottenham v Man Utd
Bertrand Traore AM,3 - 6,Sunderland v Arsenal
Granit Xhaka AM,3 - 6,Sunderland v Arsenal
Simon Adingra AM,3 - 6,Sunderland v Arsenal
Enzo Le Fee AM,3 - 6,Sunderland v Arsenal
Chemsdine Talbi AM,3 - 6,Sunderland v Arsenal
Wilson Isidor AM,2.5 - 5,Sunderland v Arsenal
Brian Brobbey AM,2.5 - 5,Sunderland v Arsenal
Chris Rigg AM,2.5 - 5,Sunderland v Arsenal
Trai Hume AM,2 - 4,Sunderland v Arsenal
Eliezer Mayenda AM,2 - 4,Sunderland v Arsenal
Reinildo Mandava AM,1 - 3,Sunderland v Arsenal
Nordi Mukiele AM,1 - 3,Sunderland v Arsenal
Daniel Ballard AM,1 - 3,Sunderland v Arsenal
Noah Sadiki AM,1 - 3,Sunderland v Arsenal
Arthur Masuaku AM,1 - 3,Sunderland v Arsenal
Lutsharel Geertruida AM,1 - 3,Sunderland v Arsenal
Omar Alderete AM,0.5 - 2,Sunderland v Arsenal
Bukayo Saka AM,17 - 20,Sunderland v Arsenal
Eberechi Eze AM,12 - 15,Sunderland v Arsenal
Declan Rice AM,12 - 15,Sunderland v Arsenal
Leandro Trossard AM,12 - 15,Sunderland v Arsenal
Gabriel Martinelli AM,9 - 12,Sunderland v Arsenal
Ethan Nwaneri AM,9 - 12,Sunderland v Arsenal
Mikel Merino AM,7 - 10,Sunderland v Arsenal
Ben White AM,6 - 9,Sunderland v Arsenal
Jurrien Timber AM,5 - 8,Sunderland v Arsenal
Myles Lewis-Skelly AM,5 - 8,Sunderland v Arsenal
Riccardo Calafiori AM,4 - 7,Sunderland v Arsenal
Piero Hincapie AM,4 - 7,Sunderland v Arsenal
Christian Norgaard AM,4 - 7,Sunderland v Arsenal
Martin Zubimendi AM,5 - 8,Sunderland v Arsenal
Gabriel Magalhaes AM,3 - 6,Sunderland v Arsenal
William Saliba AM,2 - 4,Sunderland v Arsenal
Cristhian Mosquera AM,2 - 4,Sunderland v Arsenal
Joao Pedro AM,8 - 11,Chelsea v Wolves
Estevao AM,16 - 19,Chelsea v Wolves
Alejandro Garnacho AM,10 - 13,Chelsea v Wolves
Enzo Fernandez AM,10 - 13,Chelsea v Wolves
Moises Caicedo AM,3 - 6,Chelsea v Wolves
Reece James AM,11 - 14,Chelsea v Wolves
Malo Gusto AM,6 - 9,Chelsea v Wolves
Marc Cucurella AM,5 - 8,Chelsea v Wolves
Wesley Fofana AM,0.1 - 1,Chelsea v Wolves
Pedro Neto AM,17 - 20,Chelsea v Wolves
Liam Delap AM,4 - 7,Chelsea v Wolves
Trevoh Chalobah AM,1 - 3,Chelsea v Wolves
Marc Guiu AM,2 - 4,Chelsea v Wolves
Jamie Gittens AM,10 - 13,Chelsea v Wolves
Facundo Buonanotte AM,7 - 10,Chelsea v Wolves
Jhon Arias AM,4 - 7,Chelsea v Wolves
Jean-Ricner Bellegarde AM,2.5 - 5,Chelsea v Wolves
Jorgen Strand Larsen AM,2 - 4,Chelsea v Wolves
Hwang Hee-chan AM,2 - 4,Chelsea v Wolves
Marshall Munetsi AM,1 - 3,Chelsea v Wolves
Jackson Tchatchoua AM,3 - 6,Chelsea v Wolves
Ki-Jana Hoever AM,2.5 - 5,Chelsea v Wolves
Toti Gomes AM,0.5 - 2,Chelsea v Wolves
Ladislav Krejci AM,0.1 - 1,Chelsea v Wolves
Yerson Mosquera AM,0.1 - 1,Chelsea v Wolves
Toluwalase Emmanuel Arokodare AM,1 - 3,Chelsea v Wolves
Joao Gomes AM,0.5 - 2,Chelsea v Wolves
Fernando Lopez AM,2 - 4,Chelsea v Wolves
David Moller Wolfe AM,2 - 4,Chelsea v Wolves
Andre AM,0.1 - 1,Chelsea v Wolves
Mikkel Damsgaard AM,10 - 13,Brentford v Newcastle
Dango Ouattara AM,4 - 7,Brentford v Newcastle
Igor Thiago AM,4 - 7,Brentford v Newcastle
Kevin Schade AM,4 - 7,Brentford v Newcastle
Jordan Henderson AM,3 - 6,Brentford v Newcastle
Michael Kayode AM,3 - 6,Brentford v Newcastle
Kristoffer Ajer AM,2 - 4,Brentford v Newcastle
