AM_names,AM_odds,contest
Mike Tresor AM,5 - 8,Burnley v Arsenal
Jaidon Anthony AM,4 - 7,Burnley v Arsenal
Oliver Sonne AM,3 - 6,Burnley v Arsenal
Hannibal Mejbri AM,3 - 6,Burnley v Arsenal
Marcus Edwards AM,3 - 6,Burnley v Arsenal
Jacob Bruun Larsen AM,2.5 - 5,Burnley v Arsenal
Lyle Foster AM,2 - 4,Burnley v Arsenal
Josh Laurent AM,2 - 4,Burnley v Arsenal
Quilindschy Hartman AM,2 - 4,Burnley v Arsenal
Loum Tchaouna AM,2 - 4,Burnley v Arsenal
Lucas Pires AM,2 - 4,Burnley v Arsenal
Zian Flemming AM,1 - 3,Burnley v Arsenal
Josh Cullen AM,1 - 3,Burnley v Arsenal
Armando Broja AM,1 - 3,Burnley v Arsenal
Ashley Barnes AM,0.5 - 2,Burnley v Arsenal
Kyle Walker AM,0.5 - 2,Burnley v Arsenal
Bashir Humphreys AM,0.25 - 1.5,Burnley v Arsenal
Lesley Ugochukwu AM,0.25 - 1.5,Burnley v Arsenal
Maxime Esteve AM,0.1 - 1,Burnley v Arsenal
Joe Worrall AM,0.1 - 1,Burnley v Arsenal
Hannes Delcroix AM,0.1 - 1,Burnley v Arsenal
Hjalmar Ekdal AM,0.1 - 1,Burnley v Arsenal
Axel Tuanzebe AM,0.1 - 1,Burnley v Arsenal
Florentino Luis AM,0.1 - 1,Burnley v Arsenal
Eberechi Eze AM,14 - 17,Burnley v Arsenal
Bukayo Saka AM,14 - 17,Burnley v Arsenal
Gabriel Martinelli AM,12 - 15,Burnley v Arsenal
Viktor Gyokeres AM,10 - 13,Burnley v Arsenal
Declan Rice AM,9 - 12,Burnley v Arsenal
Leandro Trossard AM,9 - 12,Burnley v Arsenal
Mikel Merino AM,6 - 9,Burnley v Arsenal
Ethan Nwaneri AM,5 - 8,Burnley v Arsenal
Martin Zubimendi AM,3 - 6,Burnley v Arsenal
Riccardo Calafiori AM,3 - 6,Burnley v Arsenal
Christian Norgaard AM,3 - 6,Burnley v Arsenal
Piero Hincapie AM,2.5 - 5,Burnley v Arsenal
Ben White AM,2.5 - 5,Burnley v Arsenal
Jurrien Timber AM,2 - 4,Burnley v Arsenal
Myles Lewis-Skelly AM,2 - 4,Burnley v Arsenal
Gabriel Magalhaes AM,0.5 - 2,Burnley v Arsenal
William Saliba AM,0.1 - 1,Burnley v Arsenal
Cristhian Mosquera AM,0.1 - 1,Burnley v Arsenal
Morgan Gibbs-White AM,8 - 11,Nottingham Forest v Man Utd
Callum Hudson-Odoi AM,7 - 10,Nottingham Forest v Man Utd
Elliot Anderson AM,6 - 9,Nottingham Forest v Man Utd
Dan Ndoye AM,5 - 8,Nottingham Forest v Man Utd
Douglas Luiz AM,3 - 6,Nottingham Forest v Man Utd
Neco Williams AM,3 - 6,Nottingham Forest v Man Utd
Nicolo Savona AM,2.5 - 5,Nottingham Forest v Man Utd
Oleksandr Zinchenko AM,2 - 4,Nottingham Forest v Man Utd
Igor Jesus AM,1 - 3,Nottingham Forest v Man Utd
Chris Wood AM,1 - 3,Nottingham Forest v Man Utd
Murillo AM,0.1 - 1,Nottingham Forest v Man Utd
Nikola Milenkovic AM,0.1 - 1,Nottingham Forest v Man Utd
Bruno Fernandes AM,11 - 14,Nottingham Forest v Man Utd
Bryan Mbeumo AM,10 - 13,Nottingham Forest v Man Utd
Amad Diallo AM,8 - 11,Nottingham Forest v Man Utd
Matheus Cunha AM,6 - 9,Nottingham Forest v Man Utd
Diogo Dalot AM,5 - 8,Nottingham Forest v Man Utd
Luke Shaw AM,4 - 7,Nottingham Forest v Man Utd
Mason Mount AM,3 - 6,Nottingham Forest v Man Utd
Patrick Dorgu AM,3 - 6,Nottingham Forest v Man Utd
Casemiro AM,2.5 - 5,Nottingham Forest v Man Utd
Benjamin Sesko AM,1 - 3,Nottingham Forest v Man Utd
Harry Maguire AM,0.25 - 1.5,Nottingham Forest v Man Utd
Leny Yoro AM,0.1 - 1,Nottingham Forest v Man Utd
Matthijs de Ligt AM,0.1 - 1,Nottingham Forest v Man Utd
