AM_names,AM_odds,contest
Martin Odegaard AM,13 - 16,Arsenal v Nottingham Forest
Eberechi Eze AM,13 - 16,Arsenal v Nottingham Forest
Declan Rice AM,11 - 14,Arsenal v Nottingham Forest
Noni Madueke AM,10 - 13,Arsenal v Nottingham Forest
Viktor Gyokeres AM,9 - 12,Arsenal v Nottingham Forest
Gabriel Martinelli AM,7 - 10,Arsenal v Nottingham Forest
Riccardo Calafiori AM,3 - 6,Arsenal v Nottingham Forest
Martin Zubimendi AM,3 - 6,Arsenal v Nottingham Forest
Jurrien Timber AM,2 - 4,Arsenal v Nottingham Forest
Myles Lewis-Skelly AM,1 - 3,Arsenal v Nottingham Forest
Cristhian Mosquera AM,1 - 3,Arsenal v Nottingham Forest
Morgan Gibbs-White AM,4 - 7,Arsenal v Nottingham Forest
Elliot Anderson AM,3 - 6,Arsenal v Nottingham Forest
Callum Hudson-Odoi AM,2.5 - 5,Arsenal v Nottingham Forest
Dan Ndoye AM,2.5 - 5,Arsenal v Nottingham Forest
Neco Williams AM,1 - 3,Arsenal v Nottingham Forest
Ibrahim Sangare AM,1 - 3,Arsenal v Nottingham Forest
Chris Wood AM,1 - 3,Arsenal v Nottingham Forest
Nicolo Savona AM,1 - 3,Arsenal v Nottingham Forest
Murillo AM,0.25 - 1.5,Arsenal v Nottingham Forest
Morato AM,0.25 - 1.5,Arsenal v Nottingham Forest
Nikola Milenkovic AM,0.1 - 1,Arsenal v Nottingham Forest
Gabriel Magalhaes AM,1 - 3,Arsenal v Nottingham Forest
William Saliba AM,0.5 - 2,Arsenal v Nottingham Forest
Anthony Elanga AM,13 - 16,Newcastle v Wolves
Nick Woltemade AM,6 - 9,Newcastle v Wolves
Harvey Barnes AM,5 - 8,Newcastle v Wolves
Bruno Guimaraes AM,6 - 9,Newcastle v Wolves
Joelinton AM,2 - 4,Newcastle v Wolves
Sandro Tonali AM,6 - 9,Newcastle v Wolves
Lewis Hall AM,6 - 9,Newcastle v Wolves
Dan Burn AM,0.5 - 2,Newcastle v Wolves
Fabian Schar AM,0.5 - 2,Newcastle v Wolves
Tino Livramento AM,3 - 6,Newcastle v Wolves
Jhon Arias AM,3 - 6,Newcastle v Wolves
Jackson Tchatchoua AM,2.5 - 5,Newcastle v Wolves
Marshall Munetsi AM,1 - 3,Newcastle v Wolves
Hwang Hee-chan AM,2 - 4,Newcastle v Wolves
Joao Gomes AM,0.25 - 1.5,Newcastle v Wolves
Emmanuel Agbadou AM,0.1 - 1,Newcastle v Wolves
David Moller Wolfe AM,0.5 - 2,Newcastle v Wolves
Toti Gomes AM,0.5 - 2,Newcastle v Wolves
Santiago Bueno AM,0.1 - 1,Newcastle v Wolves
Andre AM,0.1 - 1,Newcastle v Wolves
Jarrod Bowen AM,10 - 13,West Ham v Tottenham
Lucas Paqueta AM,7 - 10,West Ham v Tottenham
Callum Wilson AM,3 - 6,West Ham v Tottenham
Niclas Fullkrug AM,4 - 7,West Ham v Tottenham
Mateus Fernandes AM,5 - 8,West Ham v Tottenham
James Ward Prowse AM,5 - 8,West Ham v Tottenham
Kyle Walker-Peters AM,4 - 7,West Ham v Tottenham
Konstantinos Mavropanos AM,1 - 3,West Ham v Tottenham
Max Kilman AM,1 - 3,West Ham v Tottenham
Tomas Soucek AM,2 - 4,West Ham v Tottenham
El Hadji Malick Diouf AM,10 - 13,West Ham v Tottenham
Crysencio Summerville AM,8 - 11,West Ham v Tottenham
Aaron Wan-Bissaka AM,4 - 7,West Ham v Tottenham
Mohammed Kudus AM,6 - 9,West Ham v Tottenham
Brennan Johnson AM,4 - 7,West Ham v Tottenham
Richarlison AM,3 - 6,West Ham v Tottenham
Pedro Porro AM,5 - 8,West Ham v Tottenham
Djed Spence AM,3 - 6,West Ham v Tottenham
Pape Matar Sarr AM,3 - 6,West Ham v Tottenham
Rodrigo Bentancur AM,1 - 3,West Ham v Tottenham
Cristian Romero AM,1 - 3,West Ham v Tottenham
Micky van de Ven AM,1 - 3,West Ham v Tottenham
Joao Palhinha AM,1 - 3,West Ham v Tottenham
Randal Kolo Muani AM,2.5 - 5,West Ham v Tottenham
Xavi Simons AM,5 - 8,West Ham v Tottenham
Lucas Bergvall AM,2.5 - 5,West Ham v Tottenham
Mikkel Damsgaard AM,5 - 8,Brentford v Chelsea
Mathias Jensen AM,4 - 7,Brentford v Chelsea
Dango Ouattara AM,3 - 6,Brentford v Chelsea
Michael Kayode AM,2.5 - 5,Brentford v Chelsea
Igor Thiago AM,2.5 - 5,Brentford v Chelsea
Kevin Schade AM,2.5 - 5,Brentford v Chelsea
Jordan Henderson AM,2.5 - 5,Brentford v Chelsea
Frank Onyeka AM,2.5 - 5,Brentford v Chelsea
Fabio Carvalho AM,1 - 3,Brentford v Chelsea
Rico Henry AM,1 - 3,Brentford v Chelsea
Keane Lewis-Potter AM,1 - 3,Brentford v Chelsea
Nathan Collins AM,0.5 - 2,Brentford v Chelsea
Sepp van den Berg AM,0.5 - 2,Brentford v Chelsea
Yehor Yarmolyuk AM,0.25 - 1.5,Brentford v Chelsea
Estevao AM,8 - 11,Brentford v Chelsea
Cole Palmer AM,7 - 10,Brentford v Chelsea
Pedro Neto AM,6 - 9,Brentford v Chelsea
Joao Pedro AM,6 - 9,Brentford v Chelsea
Enzo Fernandez AM,6 - 9,Brentford v Chelsea
Reece James AM,5 - 8,Brentford v Chelsea
Alejandro Garnacho AM,4 - 7,Brentford v Chelsea
Jamie Gittens AM,3 - 6,Brentford v Chelsea
Marc Cucurella AM,3 - 6,Brentford v Chelsea
Andrey Santos AM,2.5 - 5,Brentford v Chelsea
Malo Gusto AM,2 - 4,Brentford v Chelsea
Moises Caicedo AM,1 - 3,Brentford v Chelsea
Trevoh Chalobah AM,0.5 - 2,Brentford v Chelsea
Tosin Adarabioyo AM,0.1 - 1,Brentford v Chelsea
Jaidon Anthony AM,5 - 8,Burnley v Liverpool
Quilindschy Hartman AM,4 - 7,Burnley v Liverpool
Hannibal Mejbri AM,3 - 6,Burnley v Liverpool
Jacob Bruun Larsen AM,4 - 7,Burnley v Liverpool
Lesley Ugochukwu AM,1 - 3,Burnley v Liverpool
Kyle Walker AM,2 - 4,Burnley v Liverpool
Josh Cullen AM,2 - 4,Burnley v Liverpool
Lyle Foster AM,1 - 3,Burnley v Liverpool
Hjalmar Ekdal AM,0.1 - 1,Burnley v Liverpool
Maxime Esteve AM,0.1 - 1,Burnley v Liverpool
Mohamed Salah AM,17 - 20,Burnley v Liverpool
Florian Wirtz AM,13 - 16,Burnley v Liverpool
Dominik Szoboszlai AM,10 - 13,Burnley v Liverpool
Cody Gakpo AM,9 - 12,Burnley v Liverpool
Hugo Ekitike AM,9 - 12,Burnley v Liverpool
Alexander Isak AM,7 - 10,Burnley v Liverpool
Alexis Mac Allister AM,7 - 10,Burnley v Liverpool
Milos Kerkez AM,5 - 8,Burnley v Liverpool
Ryan Gravenberch AM,3 - 6,Burnley v Liverpool
Ibrahima Konate AM,1 - 3,Burnley v Liverpool
Virgil van Dijk AM,1 - 3,Burnley v Liverpool
Oscar Bobb AM,10 - 13,Man City v Man Utd
Jeremy Doku AM,9 - 12,Man City v Man Utd
Savinho AM,9 - 12,Man City v Man Utd
Phil Foden AM,8 - 11,Man City v Man Utd
Rayan Ait-Nouri AM,7 - 10,Man City v Man Utd
Bernardo Silva AM,6 - 9,Man City v Man Utd
Matheus Nunes AM,5 - 8,Man City v Man Utd
Tijjani Reijnders AM,4 - 7,Man City v Man Utd
Rico Lewis AM,4 - 7,Man City v Man Utd
Erling Haaland AM,3 - 6,Man City v Man Utd
Nico O'Reilly AM,3 - 6,Man City v Man Utd
Rodri AM,2.5 - 5,Man City v Man Utd
Josko Gvardiol AM,1 - 3,Man City v Man Utd
Nico Gonzalez AM,1 - 3,Man City v Man Utd
Abdukodir Khusanov AM,1 - 3,Man City v Man Utd
Nathan Ake AM,1 - 3,Man City v Man Utd
Ruben Dias AM,0.5 - 2,Man City v Man Utd
John Stones AM,0.5 - 2,Man City v Man Utd
Bruno Fernandes AM,10 - 13,Man City v Man Utd
Bryan Mbeumo AM,8 - 11,Man City v Man Utd
Amad Diallo AM,5 - 8,Man City v Man Utd
Patrick Dorgu AM,3 - 6,Man City v Man Utd
Joshua Zirkzee AM,2 - 4,Man City v Man Utd
Luke Shaw AM,2 - 4,Man City v Man Utd
Noussair Mazraoui AM,2 - 4,Man City v Man Utd
Benjamin Sesko AM,1 - 3,Man City v Man Utd
Kobbie Mainoo AM,1 - 3,Man City v Man Utd
Casemiro AM,1 - 3,Man City v Man Utd
Manuel Ugarte AM,0.5 - 2,Man City v Man Utd
Matthijs De Ligt AM,0.5 - 2,Man City v Man Utd
Harry Maguire AM,0.5 - 2,Man City v Man Utd
Leny Yoro AM,0.5 - 2,Man City v Man Utd
Ayden Heaven AM,0.5 - 2,Man City v Man Utd
