AM_names,AM_odds,contest
Jarrod Bowen AM,7 - 10,West Ham v Chelsea
Lucas Paqueta AM,5 - 8,West Ham v Chelsea
Niclas Fullkrug AM,4 - 7,West Ham v Chelsea
El Hadji Malick Diouf AM,3 - 6,West Ham v Chelsea
James Ward-Prowse AM,3 - 6,West Ham v Chelsea
Aaron Wan-Bissaka AM,2.5 - 5,West Ham v Chelsea
Luis Guilherme AM,2.5 - 5,West Ham v Chelsea
Kyle Walker-Peters AM,2.5 - 5,West Ham v Chelsea
Callum Wilson AM,2 - 4,West Ham v Chelsea
Andy Irving AM,2 - 4,West Ham v Chelsea
Tomas Soucek AM,1 - 3,West Ham v Chelsea
Guido Rodriguez AM,1 - 3,West Ham v Chelsea
Oliver Scarles AM,1 - 3,West Ham v Chelsea
Nayef Aguerd AM,0.5 - 2,West Ham v Chelsea
Maximilian Kilman AM,0.5 - 2,West Ham v Chelsea
Konstantinos Mavropanos AM,0.5 - 2,West Ham v Chelsea
Freddie Potts AM,0.5 - 2,West Ham v Chelsea
Jean-Clair Todibo AM,0.1 - 1,West Ham v Chelsea
Cole Palmer AM,12 - 15,West Ham v Chelsea
Pedro Neto AM,11 - 14,West Ham v Chelsea
Estevao AM,10 - 13,West Ham v Chelsea
Joao Pedro AM,8 - 11,West Ham v Chelsea
Enzo Fernandez AM,6 - 9,West Ham v Chelsea
Jamie Gittens AM,6 - 9,West Ham v Chelsea
Jorrel Hato AM,5 - 8,West Ham v Chelsea
Marc Cucurella AM,4 - 7,West Ham v Chelsea
Reece James AM,4 - 7,West Ham v Chelsea
Josh Acheampong AM,4 - 7,West Ham v Chelsea
Malo Gusto AM,4 - 7,West Ham v Chelsea
Liam Delap AM,3 - 6,West Ham v Chelsea
Moises Caicedo AM,2.5 - 5,West Ham v Chelsea
Andrey Santos AM,2.5 - 5,West Ham v Chelsea
Trevoh Chalobah AM,1 - 3,West Ham v Chelsea
Wesley Fofana AM,1 - 3,West Ham v Chelsea
Tosin Adarabioyo AM,0.5 - 2,West Ham v Chelsea
