AM_names,AM_odds,contest
John McGinn AM,4 - 7,Liverpool v Aston Villa
Evann Guessand AM,3 - 6,Liverpool v Aston Villa
Donyell Malen AM,3 - 6,Liverpool v Aston Villa
Matty Cash AM,3 - 6,Liverpool v Aston Villa
Ollie Watkins AM,3 - 6,Liverpool v Aston Villa
Boubacar Kamara AM,2.5 - 5,Liverpool v Aston Villa
Amadou Onana AM,1 - 3,Liverpool v Aston Villa
Pau Torres AM,0.5 - 2,Liverpool v Aston Villa
Ezri Konsa AM,0.5 - 2,Liverpool v Aston Villa
Jarrod Bowen AM,6 - 9,West Ham v Newcastle
Crysencio Summerville AM,4 - 7,West Ham v Newcastle
Lucas Paqueta AM,3 - 6,West Ham v Newcastle
El Hadji Malick Diouf AM,3 - 6,West Ham v Newcastle
Mateus Fernandes AM,3 - 6,West Ham v Newcastle
Aaron Wan-Bissaka AM,2 - 4,West Ham v Newcastle
Callum Wilson AM,1 - 3,West Ham v Newcastle
Jean-Clair Todibo AM,0.1 - 1,West Ham v Newcastle
Kieran Trippier AM,12 - 15,West Ham v Newcastle
Jacob Murphy AM,9 - 12,West Ham v Newcastle
Anthony Gordon AM,7 - 10,West Ham v Newcastle
Nick Woltemade AM,5 - 8,West Ham v Newcastle
Bruno Guimaraes AM,5 - 8,West Ham v Newcastle
Sandro Tonali AM,5 - 8,West Ham v Newcastle
Lewis Miley AM,4 - 7,West Ham v Newcastle
Joelinton AM,2.5 - 5,West Ham v Newcastle
Dan Burn AM,2 - 4,West Ham v Newcastle
Malick Thiaw AM,1 - 3,West Ham v Newcastle
Rayan Cherki AM,18 - 21,Man City v Bournemouth
Jeremy Doku AM,15 - 18,Man City v Bournemouth
Savinho AM,13 - 16,Man City v Bournemouth
Phil Foden AM,13 - 16,Man City v Bournemouth
Oscar Bobb AM,12 - 15,Man City v Bournemouth
Omar Marmoush AM,10 - 13,Man City v Bournemouth
Bernardo Silva AM,9 - 12,Man City v Bournemouth
Matheus Nunes AM,5 - 8,Man City v Bournemouth
Nico O'Reilly AM,5 - 8,Man City v Bournemouth
Tijani Reijnders AM,4 - 7,Man City v Bournemouth
Erling Haaland AM,4 - 7,Man City v Bournemouth
Josko Gvardiol AM,3 - 6,Man City v Bournemouth
Nicolas Gonzalez AM,1 - 3,Man City v Bournemouth
John Stones AM,1 - 3,Man City v Bournemouth
Ruben Dias AM,0.5 - 2,Man City v Bournemouth
Marcus Tavernier AM,6 - 9,Man City v Bournemouth
David Brooks AM,6 - 9,Man City v Bournemouth
Adrien Truffert AM,4 - 7,Man City v Bournemouth
Justin Kluivert AM,4 - 7,Man City v Bournemouth
Ryan Christie AM,3 - 6,Man City v Bournemouth
Antoine Semenyo AM,3 - 6,Man City v Bournemouth
Alex Jimenez AM,2.5 - 5,Man City v Bournemouth
Alex Scott AM,2.5 - 5,Man City v Bournemouth
Eli Junior Kroupi AM,1 - 3,Man City v Bournemouth
Evanilson AM,1 - 3,Man City v Bournemouth
Tyler Adams AM,1 - 3,Man City v Bournemouth
Marcos Senesi AM,0.5 - 2,Man City v Bournemouth
