AM_names,AM_odds,contest
Chris Richards AM,0.1 - 1,Crystal Palace v Nottingham Forest
Justin Devenny AM,4 - 7,Crystal Palace v Nottingham Forest
Adam Wharton AM,7 - 10,Crystal Palace v Nottingham Forest
Marc Guehi AM,0.5 - 2,Crystal Palace v Nottingham Forest
Morgan Gibbs-White AM,7 - 10,Crystal Palace v Nottingham Forest
Callum Hudson-Odoi AM,4 - 7,Crystal Palace v Nottingham Forest
Elliot Anderson AM,4 - 7,Crystal Palace v Nottingham Forest
Neco Williams AM,2.5 - 5,Crystal Palace v Nottingham Forest
Dan Ndoye AM,4 - 7,Crystal Palace v Nottingham Forest
Chris Wood AM,2 - 4,Crystal Palace v Nottingham Forest
Ola Aina AM,1 - 3,Crystal Palace v Nottingham Forest
Ibrahim Sangare AM,2 - 4,Crystal Palace v Nottingham Forest
Nikola Milenkovic AM,0.25 - 1.5,Crystal Palace v Nottingham Forest
Murillo AM,0.5 - 2,Crystal Palace v Nottingham Forest
Adama Traore AM,5 - 8,Fulham v Man Utd
Andreas Pereira AM,4 - 7,Fulham v Man Utd
Alex Iwobi AM,4 - 7,Fulham v Man Utd
Joshua King AM,4 - 7,Fulham v Man Utd
Harry Wilson AM,3 - 6,Fulham v Man Utd
Sasa Lukic AM,2 - 4,Fulham v Man Utd
Raul Jimenez AM,2 - 4,Fulham v Man Utd
Tom Cairney AM,2 - 4,Fulham v Man Utd
Kenny Tete AM,1 - 3,Fulham v Man Utd
Rodrigo Muniz AM,1 - 3,Fulham v Man Utd
Emile Smith Rowe AM,1 - 3,Fulham v Man Utd
Sander Berge AM,0.5 - 2,Fulham v Man Utd
Joachim Andersen AM,0.5 - 2,Fulham v Man Utd
Jorge Cuenca AM,0.5 - 2,Fulham v Man Utd
Calvin Bassey AM,0.5 - 2,Fulham v Man Utd
Bruno Fernandes AM,10 - 13,Fulham v Man Utd
Amad Diallo AM,6 - 9,Fulham v Man Utd
Matheus Cunha AM,5 - 8,Fulham v Man Utd
Bryan Mbeumo AM,5 - 8,Fulham v Man Utd
Mason Mount AM,3 - 6,Fulham v Man Utd
Patrick Dorgu AM,2.5 - 5,Fulham v Man Utd
Joshua Zirkzee AM,2.5 - 5,Fulham v Man Utd
Casemiro AM,2 - 4,Fulham v Man Utd
Luke Shaw AM,2 - 4,Fulham v Man Utd
Diogo Dalot AM,2 - 4,Fulham v Man Utd
Benjamin Sesko AM,1 - 3,Fulham v Man Utd
Kobbie Mainoo AM,1 - 3,Fulham v Man Utd
Manuel Ugarte AM,1 - 3,Fulham v Man Utd
Harry Maguire AM,1 - 3,Fulham v Man Utd
Leny Yoro AM,0.5 - 2,Fulham v Man Utd
Matthijs de Ligt AM,0.1 - 1,Fulham v Man Utd
