AM_names,AM_odds,contest
Joao Pedro AM,8 - 11,Chelsea v Sunderland
Enzo Fernandez AM,8 - 11,Chelsea v Sunderland
Pedro Neto AM,15 - 18,Chelsea v Sunderland
Alejandro Garnacho AM,11 - 14,Chelsea v Sunderland
Marc Guiu AM,1 - 3,Chelsea v Sunderland
Andrey Santos AM,8 - 11,Chelsea v Sunderland
Reece James AM,7 - 10,Chelsea v Sunderland
Marc Cucurella AM,2.5 - 5,Chelsea v Sunderland
Moises Caicedo AM,3 - 6,Chelsea v Sunderland
Facundo Buonanotte AM,6 - 9,Chelsea v Sunderland
Tosin Adarabioyo AM,0.5 - 2,Chelsea v Sunderland
Jamie Gittens AM,7 - 10,Chelsea v Sunderland
Trevoh Chalobah AM,1 - 3,Chelsea v Sunderland
Josh Acheampong AM,0.5 - 2,Chelsea v Sunderland
Tyrique George AM,10 - 13,Chelsea v Sunderland
Estevao AM,11 - 14,Chelsea v Sunderland
Jorrel Hato AM,2.5 - 5,Chelsea v Sunderland
Romeo Lavia AM,1 - 3,Chelsea v Sunderland
Wilson Isidor AM,0.5 - 2,Chelsea v Sunderland
Bertrand Traore AM,1 - 3,Chelsea v Sunderland
Granit Xhaka AM,1 - 3,Chelsea v Sunderland
Chris Rigg AM,1 - 3,Chelsea v Sunderland
Enzo Le Fee AM,2 - 4,Chelsea v Sunderland
Noah Sadiki AM,1 - 3,Chelsea v Sunderland
Reinildo Mandava AM,1 - 3,Chelsea v Sunderland
Nordi Mukiele AM,1 - 3,Chelsea v Sunderland
Trai Hume AM,2 - 4,Chelsea v Sunderland
Daniel Ballard AM,0.1 - 1,Chelsea v Sunderland
Eliezer Mayenda AM,2 - 4,Chelsea v Sunderland
Chemsdine Talbi AM,1 - 3,Chelsea v Sunderland
Simon Adingra AM,2.5 - 5,Chelsea v Sunderland
Omar Alderete AM,0.1 - 1,Chelsea v Sunderland
Arthur Masuaku AM,1 - 3,Chelsea v Sunderland
Lutsharel Geertruida AM,0.25 - 1.5,Chelsea v Sunderland
Brian Brobbey AM,2 - 4,Chelsea v Sunderland
Dan Neil AM,0.5 - 2,Chelsea v Sunderland
Bruno Fernandes AM,15 - 18,Man Utd v Brighton
Bryan Mbeumo AM,13 - 16,Man Utd v Brighton
Amad Diallo AM,9 - 12,Man Utd v Brighton
Matheus Cunha AM,9 - 12,Man Utd v Brighton
Patrick Dorgu AM,7 - 10,Man Utd v Brighton
Diogo Dalot AM,6 - 9,Man Utd v Brighton
Mason Mount AM,6 - 9,Man Utd v Brighton
Benjamin Sesko AM,4 - 7,Man Utd v Brighton
Kobbie Mainoo AM,3 - 6,Man Utd v Brighton
Harry Maguire AM,3 - 6,Man Utd v Brighton
Casemiro AM,3 - 6,Man Utd v Brighton
Luke Shaw AM,2.5 - 5,Man Utd v Brighton
Manuel Ugarte AM,2.5 - 5,Man Utd v Brighton
Matthijs de Ligt AM,1 - 3,Man Utd v Brighton
Yankuba Minteh AM,10 - 13,Man Utd v Brighton
Georginio Rutter AM,7 - 10,Man Utd v Brighton
Kaoru Mitoma AM,6 - 9,Man Utd v Brighton
Diego Gomez AM,5 - 8,Man Utd v Brighton
Maxime De Cuyper AM,4 - 7,Man Utd v Brighton
Ferdi Kadioglu AM,4 - 7,Man Utd v Brighton
Mats Wieffer AM,3 - 6,Man Utd v Brighton
Yasin Ayari AM,3 - 6,Man Utd v Brighton
Danny Welbeck AM,2.5 - 5,Man Utd v Brighton
Jan Paul van Hecke AM,1 - 3,Man Utd v Brighton
Carlos Baleba AM,0.5 - 2,Man Utd v Brighton
Lewis Dunk AM,0.5 - 2,Man Utd v Brighton
Mikkel Damsgaard AM,5 - 8,Brentford v Liverpool
Mathias Jensen AM,4 - 7,Brentford v Liverpool
Dango Ouattara AM,4 - 7,Brentford v Liverpool
Kristoffer Ajer AM,3 - 6,Brentford v Liverpool
Michael Kayode AM,3 - 6,Brentford v Liverpool
Kevin Schade AM,2.5 - 5,Brentford v Liverpool
Jordan Henderson AM,2.5 - 5,Brentford v Liverpool
Igor Thiago AM,2.5 - 5,Brentford v Liverpool
Keane Lewis-Potter AM,2 - 4,Brentford v Liverpool
Frank Onyeka AM,2 - 4,Brentford v Liverpool
Rico Henry AM,1 - 3,Brentford v Liverpool
Nathan Collins AM,1 - 3,Brentford v Liverpool
Aaron Hickey AM,0.5 - 2,Brentford v Liverpool
Yehor Yarmolyuk AM,0.5 - 2,Brentford v Liverpool
Sepp van den Berg AM,0.5 - 2,Brentford v Liverpool
Mohamed Salah AM,8 - 11,Brentford v Liverpool
Florian Wirtz AM,8 - 11,Brentford v Liverpool
Cody Gakpo AM,7 - 10,Brentford v Liverpool
Dominik Szoboszlai AM,7 - 10,Brentford v Liverpool
Andrew Robertson AM,6 - 9,Brentford v Liverpool
Federico Chiesa AM,6 - 9,Brentford v Liverpool
Hugo Ekitike AM,4 - 7,Brentford v Liverpool
Alexis MacAllister AM,3 - 6,Brentford v Liverpool
Alexander Isak AM,3 - 6,Brentford v Liverpool
Conor Bradley AM,3 - 6,Brentford v Liverpool
Milos Kerkez AM,2.5 - 5,Brentford v Liverpool
Curtis Jones AM,2 - 4,Brentford v Liverpool
Ryan Gravenberch AM,2 - 4,Brentford v Liverpool
Virgil van Dijk AM,0.5 - 2,Brentford v Liverpool
Ibrahima Konate AM,0.5 - 2,Brentford v Liverpool
Bukayo Saka AM,13 - 16,Arsenal v Crystal Palace
Eberechi Eze AM,11 - 14,Arsenal v Crystal Palace
Gabriel Martinelli AM,9 - 12,Arsenal v Crystal Palace
Declan Rice AM,9 - 12,Arsenal v Crystal Palace
Viktor Gyokeres AM,8 - 11,Arsenal v Crystal Palace
Leandro Trossard AM,6 - 9,Arsenal v Crystal Palace
Martin Zubimendi AM,2.5 - 5,Arsenal v Crystal Palace
Riccardo Calafiori AM,2.5 - 5,Arsenal v Crystal Palace
Ismaila Sarr AM,3 - 6,Arsenal v Crystal Palace
Jean-Philippe Mateta AM,2.5 - 5,Arsenal v Crystal Palace
Daniel Munoz AM,2 - 4,Arsenal v Crystal Palace
Tyrick Mitchell AM,2 - 4,Arsenal v Crystal Palace
Yeremy Pino AM,2 - 4,Arsenal v Crystal Palace
Daichi Kamada AM,2 - 4,Arsenal v Crystal Palace
Maxence Lacroix AM,0.25 - 1.5,Arsenal v Crystal Palace
Chris Richards AM,0.1 - 1,Arsenal v Crystal Palace
Morgan Rogers AM,5 - 8,Aston Villa v Man City
Evann Guessand AM,4 - 7,Aston Villa v Man City
Donyell Malen AM,3 - 6,Aston Villa v Man City
John McGinn AM,3 - 6,Aston Villa v Man City
Boubacar Kamara AM,1 - 3,Aston Villa v Man City
Amadou Onana AM,0.5 - 2,Aston Villa v Man City
Matty Cash AM,1 - 3,Aston Villa v Man City
Ollie Watkins AM,2.5 - 5,Aston Villa v Man City
Ezri Konsa AM,0.1 - 1,Aston Villa v Man City
Pau Torres AM,0.25 - 1.5,Aston Villa v Man City
Lucas Digne AM,5 - 8,Aston Villa v Man City
Emiliano Buendia AM,3 - 6,Aston Villa v Man City
Ian Maatsen AM,3 - 6,Aston Villa v Man City
Savinho AM,12 - 15,Aston Villa v Man City
Erling Haaland AM,3 - 6,Aston Villa v Man City
Jeremy Doku AM,12 - 15,Aston Villa v Man City
Phil Foden AM,10 - 13,Aston Villa v Man City
Tijani Reijnders AM,4 - 7,Aston Villa v Man City
Matheus Nunes AM,6 - 9,Aston Villa v Man City
Nico O'Reilly AM,3 - 6,Aston Villa v Man City
Bernardo Silva AM,7 - 10,Aston Villa v Man City
Josko Gvardiol AM,1 - 3,Aston Villa v Man City
Nicolas Gonzalez AM,1 - 3,Aston Villa v Man City
Ruben Dias AM,0.25 - 1.5,Aston Villa v Man City
Omar Marmoush AM,11 - 14,Aston Villa v Man City
Rayan Cherki AM,15 - 18,Aston Villa v Man City
Dwight McNeil AM,11 - 14,Everton v Tottenham
Jack Grealish AM,8 - 11,Everton v Tottenham
Kiernan Dewsbury-Hall AM,7 - 10,Everton v Tottenham
Nathan Patterson AM,5 - 8,Everton v Tottenham
Vitaliy Mykolenko AM,4 - 7,Everton v Tottenham
Carlos Alcaraz AM,4 - 7,Everton v Tottenham
Tyler Dibling AM,4 - 7,Everton v Tottenham
James Garner AM,4 - 7,Everton v Tottenham
Thierno Barry AM,3 - 6,Everton v Tottenham
Beto AM,2.5 - 5,Everton v Tottenham
Iliman Ndiaye AM,2.5 - 5,Everton v Tottenham
Idrissa Gueye AM,2 - 4,Everton v Tottenham
Jake O'Brien AM,1 - 3,Everton v Tottenham
Mohammed Kudus AM,7 - 10,Everton v Tottenham
Xavi Simons AM,7 - 10,Everton v Tottenham
Pedro Porro AM,6 - 9,Everton v Tottenham
Wilson Odobert AM,5 - 8,Everton v Tottenham
Mathys Tel AM,4 - 7,Everton v Tottenham
Brennan Johnson AM,4 - 7,Everton v Tottenham
Randal Kolo Muani AM,4 - 7,Everton v Tottenham
Djed Spence AM,2.5 - 5,Everton v Tottenham
Richarlison AM,2 - 4,Everton v Tottenham
Lucas Bergvall AM,2 - 4,Everton v Tottenham
Destiny Udogie AM,2 - 4,Everton v Tottenham
Rodrigo Bentancur AM,1 - 3,Everton v Tottenham
Pape Sarr AM,1 - 3,Everton v Tottenham
Joao Palhinha AM,0.5 - 2,Everton v Tottenham
