AM_names,AM_odds,contest
Rayan Cherki AM,19 - 22,Man City v Everton
Jeremy Doku AM,15 - 18,Man City v Everton
Savinho AM,14 - 17,Man City v Everton
Phil Foden AM,12 - 15,Man City v Everton
Bernardo Silva AM,8 - 11,Man City v Everton
Matheus Nunes AM,7 - 10,Man City v Everton
Tijani Reijnders AM,5 - 8,Man City v Everton
Erling Haaland AM,4 - 7,Man City v Everton
Nico O'Reilly AM,3 - 6,Man City v Everton
Josko Gvardiol AM,2 - 4,Man City v Everton
Nicolas Gonzalez AM,1 - 3,Man City v Everton
Ruben Dias AM,0.25 - 1.5,Man City v Everton
Dwight McNeil AM,10 - 13,Man City v Everton
Kiernan Dewsbury-Hall AM,4 - 7,Man City v Everton
James Garner AM,2.5 - 5,Man City v Everton
Tyler Dibling AM,2.5 - 5,Man City v Everton
Vitaliy Mykolenko AM,2 - 4,Man City v Everton
Thierno Barry AM,2 - 4,Man City v Everton
Beto AM,1 - 3,Man City v Everton
Iliman Ndiaye AM,1 - 3,Man City v Everton
Idrissa Gueye AM,1 - 3,Man City v Everton
James Tarkowski AM,0.5 - 2,Man City v Everton
Michael Keane AM,0.5 - 2,Man City v Everton
Jake O'Brien AM,0.25 - 1.5,Man City v Everton
Alex Iwobi AM,3 - 6,Fulham v Arsenal
Adama Traore AM,3 - 6,Fulham v Arsenal
Ryan Sessegnon AM,3 - 6,Fulham v Arsenal
Antonee Robinson AM,2.5 - 5,Fulham v Arsenal
Kevin AM,2.5 - 5,Fulham v Arsenal
Harry Wilson AM,2 - 4,Fulham v Arsenal
Samuel Chukwueze AM,2 - 4,Fulham v Arsenal
Emile Smith Rowe AM,2 - 4,Fulham v Arsenal
Tom Cairney AM,2 - 4,Fulham v Arsenal
Raul Jimenez AM,2 - 4,Fulham v Arsenal
Joshua King AM,1 - 3,Fulham v Arsenal
Timothy Castagne AM,1 - 3,Fulham v Arsenal
Kenny Tete AM,1 - 3,Fulham v Arsenal
Sander Berge AM,0.5 - 2,Fulham v Arsenal
Joachim Andersen AM,0.25 - 1.5,Fulham v Arsenal
Calvin Bassey AM,0.25 - 1.5,Fulham v Arsenal
Issa Diop AM,0.25 - 1.5,Fulham v Arsenal
Bukayo Saka AM,11 - 14,Fulham v Arsenal
Eberechi Eze AM,9 - 12,Fulham v Arsenal
Declan Rice AM,8 - 11,Fulham v Arsenal
Leandro Trossard AM,6 - 9,Fulham v Arsenal
Gabriel Martinelli AM,6 - 9,Fulham v Arsenal
Viktor Gyokeres AM,5 - 8,Fulham v Arsenal
Mikel Merino AM,4 - 7,Fulham v Arsenal
Ethan Nwaneri AM,4 - 7,Fulham v Arsenal
Martin Zubimendi AM,2.5 - 5,Fulham v Arsenal
Riccardo Calafiori AM,2.5 - 5,Fulham v Arsenal
Ben White AM,2 - 4,Fulham v Arsenal
Piero Hincapie AM,1 - 3,Fulham v Arsenal
Myles Lewis-Skelly AM,1 - 3,Fulham v Arsenal
Jurrien Timber AM,1 - 3,Fulham v Arsenal
Cristhian Mosquera AM,0.5 - 2,Fulham v Arsenal
William Saliba AM,0.25 - 1.5,Fulham v Arsenal
Gabriel Magalhaes AM,0.25 - 1.5,Fulham v Arsenal
Mohamed Salah AM,19 - 22,Liverpool v Man Utd
Florian Wirtz AM,12 - 15,Liverpool v Man Utd
Cody Gakpo AM,11 - 14,Liverpool v Man Utd
Hugo Ekitike AM,10 - 13,Liverpool v Man Utd
Jeremie Frimpong AM,9 - 12,Liverpool v Man Utd
Dominik Szoboszlai AM,8 - 11,Liverpool v Man Utd
Federico Chiesa AM,8 - 11,Liverpool v Man Utd
Alexander Isak AM,8 - 11,Liverpool v Man Utd
Andrew Robertson AM,7 - 10,Liverpool v Man Utd
Alexis MacAllister AM,6 - 9,Liverpool v Man Utd
Conor Bradley AM,6 - 9,Liverpool v Man Utd
Milos Kerkez AM,5 - 8,Liverpool v Man Utd
Curtis Jones AM,5 - 8,Liverpool v Man Utd
Ryan Gravenberch AM,4 - 7,Liverpool v Man Utd
Wataru Endo AM,3 - 6,Liverpool v Man Utd
Joe Gomez AM,2.5 - 5,Liverpool v Man Utd
Virgil van Dijk AM,1 - 3,Liverpool v Man Utd
Ibrahima Konate AM,1 - 3,Liverpool v Man Utd
Matheus Cunha AM,8 - 11,Liverpool v Man Utd
Bruno Fernandes AM,8 - 11,Liverpool v Man Utd
Bryan Mbeumo AM,7 - 10,Liverpool v Man Utd
Amad Diallo AM,4 - 7,Liverpool v Man Utd
Benjamin Sesko AM,4 - 7,Liverpool v Man Utd
Casemiro AM,4 - 7,Liverpool v Man Utd
Luke Shaw AM,2 - 4,Liverpool v Man Utd
Patrick Dorgu AM,3 - 6,Liverpool v Man Utd
Mason Mount AM,3 - 6,Liverpool v Man Utd
Diogo Dalot AM,3 - 6,Liverpool v Man Utd
Joshua Zirkzee AM,3 - 6,Liverpool v Man Utd
Matthijs de Ligt AM,2 - 4,Liverpool v Man Utd
Manuel Ugarte AM,2 - 4,Liverpool v Man Utd
Kobbie Mainoo AM,2 - 4,Liverpool v Man Utd
Noussair Mazraoui AM,1 - 3,Liverpool v Man Utd
Leny Yoro AM,0.5 - 2,Liverpool v Man Utd
Harry Maguire AM,0.5 - 2,Liverpool v Man Utd
Ayden Heaven AM,0.5 - 2,Liverpool v Man Utd
