AM_names,AM_odds,contest
Alex Iwobi AM,4 - 7,Fulham v Man City
Harry Wilson AM,3 - 6,Fulham v Man City
Ryan Sessegnon AM,2.5 - 5,Fulham v Man City
Adama Traore AM,6 - 9,Fulham v Man City
Samuel Chukwueze AM,5 - 8,Fulham v Man City
Raul Jimenez AM,2.5 - 5,Fulham v Man City
Joshua King AM,2 - 4,Fulham v Man City
Kenny Tete AM,1 - 3,Fulham v Man City
Sander Berge AM,1 - 3,Fulham v Man City
Calvin Bassey AM,0.5 - 2,Fulham v Man City
Joachim Andersen AM,0.5 - 2,Fulham v Man City
Emile Smith Rowe AM,1 - 3,Fulham v Man City
Kevin AM,5 - 8,Fulham v Man City
Tom Cairney AM,2 - 4,Fulham v Man City
Sasa Lukic AM,2.5 - 5,Fulham v Man City
Timothy Castagne AM,2.5 - 5,Fulham v Man City
Rayan Cherki AM,15 - 18,Fulham v Man City
Phil Foden AM,10 - 13,Fulham v Man City
Jeremy Doku AM,12 - 15,Fulham v Man City
Erling Haaland AM,4 - 7,Fulham v Man City
Tijjani Reijnders AM,4 - 7,Fulham v Man City
Bernardo Silva AM,6 - 9,Fulham v Man City
Matheus Nunes AM,4 - 7,Fulham v Man City
Nico Gonzalez AM,1 - 3,Fulham v Man City
Josko Gvardiol AM,1 - 3,Fulham v Man City
Nico O'Reilly AM,4 - 7,Fulham v Man City
Omar Marmoush AM,10 - 13,Fulham v Man City
Ruben Dias AM,0.25 - 1.5,Fulham v Man City
Savinho AM,11 - 14,Fulham v Man City
John Stones AM,0.5 - 2,Fulham v Man City
Nathan Ake AM,1 - 3,Fulham v Man City
Rayan Ait-Nouri AM,6 - 9,Fulham v Man City
Rico Lewis AM,4 - 7,Fulham v Man City
Anthony Elanga AM,13 - 16,Newcastle v Tottenham
Harvey Barnes AM,12 - 15,Newcastle v Tottenham
Anthony Gordon AM,9 - 12,Newcastle v Tottenham
Jacob Murphy AM,9 - 12,Newcastle v Tottenham
Sandro Tonali AM,9 - 12,Newcastle v Tottenham
Bruno Guimaraes AM,6 - 9,Newcastle v Tottenham
Lewis Miley AM,6 - 9,Newcastle v Tottenham
Joelinton AM,6 - 9,Newcastle v Tottenham
Lewis Hall AM,6 - 9,Newcastle v Tottenham
Nick Woltemade AM,5 - 8,Newcastle v Tottenham
Tino Livramento AM,5 - 8,Newcastle v Tottenham
Joe Willock AM,5 - 8,Newcastle v Tottenham
Jacob Ramsey AM,5 - 8,Newcastle v Tottenham
Dan Burn AM,2.5 - 5,Newcastle v Tottenham
Fabian Schar AM,2 - 4,Newcastle v Tottenham
Sven Botman AM,2 - 4,Newcastle v Tottenham
Emil Krafth AM,2 - 4,Newcastle v Tottenham
Malick Thiaw AM,1 - 3,Newcastle v Tottenham
Mohammed Kudus AM,6 - 9,Newcastle v Tottenham
Xavi Simons AM,5 - 8,Newcastle v Tottenham
Richarlison AM,5 - 8,Newcastle v Tottenham
Pedro Porro AM,5 - 8,Newcastle v Tottenham
Brennan Johnson AM,5 - 8,Newcastle v Tottenham
Wilson Odobert AM,4 - 7,Newcastle v Tottenham
Lucas Bergvall AM,4 - 7,Newcastle v Tottenham
Mathys Tel AM,4 - 7,Newcastle v Tottenham
Pape Sarr AM,3 - 6,Newcastle v Tottenham
Randal Kolo Muani AM,3 - 6,Newcastle v Tottenham
Destiny Udogie AM,2.5 - 5,Newcastle v Tottenham
Djed Spence AM,2.5 - 5,Newcastle v Tottenham
Rodrigo Bentancur AM,2 - 4,Newcastle v Tottenham
Archie Gray AM,2 - 4,Newcastle v Tottenham
Joao Palhinha AM,1 - 3,Newcastle v Tottenham
Micky van de Ven AM,1 - 3,Newcastle v Tottenham
Kevin Danso AM,1 - 3,Newcastle v Tottenham
Cristian Romero AM,0.5 - 2,Newcastle v Tottenham
