AM_names,AM_odds,contest
Sean Longstaff AM,5 - 8,Leeds v Tottenham
Gabriel Gudmundsson AM,5 - 8,Leeds v Tottenham
Brenden Aaronson AM,4 - 7,Leeds v Tottenham
Noah Okafor AM,3 - 6,Leeds v Tottenham
Jack Harrison AM,3 - 6,Leeds v Tottenham
Jayden Bogle AM,3 - 6,Leeds v Tottenham
Anton Stach AM,2.5 - 5,Leeds v Tottenham
Dominic Calvert-Lewin AM,2 - 4,Leeds v Tottenham
Joel Piroe AM,1 - 3,Leeds v Tottenham
Lukas Nmecha AM,1 - 3,Leeds v Tottenham
Ao Tanaka AM,1 - 3,Leeds v Tottenham
Ethan Ampadu AM,0.25 - 1.5,Leeds v Tottenham
Pascal Struijk AM,0.1 - 1,Leeds v Tottenham
Joe Rodon AM,0.1 - 1,Leeds v Tottenham
Mohammed Kudus AM,8 - 11,Leeds v Tottenham
Pedro Porro AM,6 - 9,Leeds v Tottenham
Xavi Simons AM,6 - 9,Leeds v Tottenham
Mathys Tel AM,5 - 8,Leeds v Tottenham
Wilson Odobert AM,4 - 7,Leeds v Tottenham
Brennan Johnson AM,3 - 6,Leeds v Tottenham
Cristian Romero AM,3 - 6,Leeds v Tottenham
Richarlison AM,3 - 6,Leeds v Tottenham
Lucas Bergvall AM,2 - 4,Leeds v Tottenham
Destiny Udogie AM,1 - 3,Leeds v Tottenham
Micky van de Ven AM,1 - 3,Leeds v Tottenham
Pape Matar Sarr AM,1 - 3,Leeds v Tottenham
Rodrigo Bentancur AM,0.5 - 2,Leeds v Tottenham
Joao Palhinha AM,0.25 - 1.5,Leeds v Tottenham
Archie Gray AM,0.25 - 1.5,Leeds v Tottenham
Bukayo Saka AM,17 - 20,Arsenal v West Ham
Eberechi Eze AM,14 - 17,Arsenal v West Ham
Martin Odegaard AM,14 - 17,Arsenal v West Ham
Gabriel Martinelli AM,12 - 15,Arsenal v West Ham
Declan Rice AM,10 - 13,Arsenal v West Ham
Viktor Gyokeres AM,10 - 13,Arsenal v West Ham
Leandro Trossard AM,10 - 13,Arsenal v West Ham
Mikel Merino AM,7 - 10,Arsenal v West Ham
Martin Zubimendi AM,6 - 9,Arsenal v West Ham
Riccardo Calafiori AM,3 - 6,Arsenal v West Ham
Jurrien Timber AM,3 - 6,Arsenal v West Ham
Cristhian Mosquera AM,2 - 4,Arsenal v West Ham
Gabriel Magalhaes0 AM,2 - 4,Arsenal v West Ham
William Saliba AM,1 - 3,Arsenal v West Ham
Jarrod Bowen AM,3 - 6,Arsenal v West Ham
James Ward-Prowse AM,3 - 6,Arsenal v West Ham
Lucas Paqueta AM,2 - 4,Arsenal v West Ham
Mateus Fernandes AM,2 - 4,Arsenal v West Ham
Niclas Fullkrug AM,2 - 4,Arsenal v West Ham
Crysencio Summerville AM,2 - 4,Arsenal v West Ham
El Hadji Malick Diouf AM,2 - 4,Arsenal v West Ham
Kyle Walker-Peters AM,1 - 3,Arsenal v West Ham
Soungoutou Magassa AM,1 - 3,Arsenal v West Ham
Max Kilman AM,0.5 - 2,Arsenal v West Ham
Konstantinos Mavropanos AM,0.25 - 1.5,Arsenal v West Ham
Bruno Fernandes AM,15 - 18,Man Utd v Sunderland
Bryan Mbeumo AM,12 - 15,Man Utd v Sunderland
Amad Diallo AM,10 - 13,Man Utd v Sunderland
Matheus Cunha AM,10 - 13,Man Utd v Sunderland
Patrick Dorgu AM,9 - 12,Man Utd v Sunderland
Diogo Dalot AM,5 - 8,Man Utd v Sunderland
Casemiro AM,4 - 7,Man Utd v Sunderland
Benjamin Sesko AM,4 - 7,Man Utd v Sunderland
Granit Xhaka AM,4 - 7,Man Utd v Sunderland
Trai Hume AM,4 - 7,Man Utd v Sunderland
Simon Adingra AM,4 - 7,Man Utd v Sunderland
Enzo Le Fee AM,4 - 7,Man Utd v Sunderland
Chemsdine Talbi AM,3 - 6,Man Utd v Sunderland
Noah Sadiki AM,2 - 4,Man Utd v Sunderland
Chris Rigg AM,2 - 4,Man Utd v Sunderland
Wilson Isidor AM,2 - 4,Man Utd v Sunderland
Joao Pedro AM,5 - 8,Chelsea v Liverpool
Enzo Fernandez AM,5 - 8,Chelsea v Liverpool
Estevao AM,8 - 11,Chelsea v Liverpool
Pedro Neto AM,11 - 14,Chelsea v Liverpool
Marc Cucurella AM,2 - 4,Chelsea v Liverpool
Reece James AM,5 - 8,Chelsea v Liverpool
Romeo Lavia AM,1 - 3,Chelsea v Liverpool
Benoit Badiashile AM,0.1 - 1,Chelsea v Liverpool
Tyrique George AM,7 - 10,Chelsea v Liverpool
Wesley Fofana AM,0.1 - 1,Chelsea v Liverpool
Moises Caicedo AM,2 - 4,Chelsea v Liverpool
Marc Guiu AM,1 - 3,Chelsea v Liverpool
Facundo Buonanotte AM,3 - 6,Chelsea v Liverpool
Alejandro Garnacho AM,6 - 9,Chelsea v Liverpool
Jamie Gittens AM,5 - 8,Chelsea v Liverpool
Malo Gusto AM,3 - 6,Chelsea v Liverpool
Jorrel Hato AM,2 - 4,Chelsea v Liverpool
Josh Acheampong AM,0.5 - 2,Chelsea v Liverpool
Mohamed Salah AM,11 - 14,Chelsea v Liverpool
Alexander Isak AM,4 - 7,Chelsea v Liverpool
Cody Gakpo AM,8 - 11,Chelsea v Liverpool
Florian Wirtz AM,9 - 12,Chelsea v Liverpool
Alexis MacAllister AM,3 - 6,Chelsea v Liverpool
Dominik Szoboszlai AM,9 - 12,Chelsea v Liverpool
