AM_names,AM_odds,contest
Bruno Fernandes AM,16 - 19,Man Utd v Burnley
Bryan Mbeumo AM,12 - 15,Man Utd v Burnley
Matheus Cunha AM,9 - 12,Man Utd v Burnley
Amad Diallo AM,9 - 12,Man Utd v Burnley
Mason Mount AM,7 - 10,Man Utd v Burnley
Luke Shaw AM,7 - 10,Man Utd v Burnley
Patrick Dorgu AM,6 - 9,Man Utd v Burnley
Diogo Dalot AM,5 - 8,Man Utd v Burnley
Kobbie Mainoo AM,3 - 6,Man Utd v Burnley
Joshua Zirkzee AM,3 - 6,Man Utd v Burnley
Rasmus Hojlund AM,3 - 6,Man Utd v Burnley
Diego Leon AM,3 - 6,Man Utd v Burnley
Chido Obi AM,3 - 6,Man Utd v Burnley
Noussair Mazraoui AM,2.5 - 5,Man Utd v Burnley
Casemiro AM,2.5 - 5,Man Utd v Burnley
Benjamin Sesko AM,2 - 4,Man Utd v Burnley
Manuel Ugarte AM,1 - 3,Man Utd v Burnley
Harry Maguire AM,0.5 - 2,Man Utd v Burnley
Tyler Fredricson AM,0.25 - 1.5,Man Utd v Burnley
Ayden Heaven AM,0.25 - 1.5,Man Utd v Burnley
Matthijs de Ligt AM,0.1 - 1,Man Utd v Burnley
Leny Yoro AM,0.1 - 1,Man Utd v Burnley
Mike Tresor AM,6 - 9,Man Utd v Burnley
Jaidon Anthony AM,5 - 8,Man Utd v Burnley
Hannibal Mejbri AM,3 - 6,Man Utd v Burnley
Marcus Edwards AM,3 - 6,Man Utd v Burnley
Jacob Bruun Larsen AM,2.5 - 5,Man Utd v Burnley
Oliver Sonne AM,2.5 - 5,Man Utd v Burnley
Lucas Pires AM,2.5 - 5,Man Utd v Burnley
Zian Flemming AM,2 - 4,Man Utd v Burnley
Aaron Ramsey AM,2 - 4,Man Utd v Burnley
Lyle Foster AM,2 - 4,Man Utd v Burnley
Quilindschy Hartman AM,1 - 3,Man Utd v Burnley
Josh Cullen AM,1 - 3,Man Utd v Burnley
Josh Laurent AM,1 - 3,Man Utd v Burnley
Loum Tchaouna AM,1 - 3,Man Utd v Burnley
Hannes Delcroix AM,0.1 - 1,Man Utd v Burnley
Ashley Barnes AM,1 - 3,Man Utd v Burnley
Jaydon Banel AM,1 - 3,Man Utd v Burnley
Armando Broja AM,1 - 3,Man Utd v Burnley
Kyle Walker AM,1 - 3,Man Utd v Burnley
Lesley Ugochukwu AM,0.5 - 2,Man Utd v Burnley
Maxime Esteve AM,0.1 - 1,Man Utd v Burnley
Joe Worrall AM,0.1 - 1,Man Utd v Burnley
Bashir Humphreys AM,0.1 - 1,Man Utd v Burnley
Hjalmar Ekdal AM,0.1 - 1,Man Utd v Burnley
Axel Tuanzebe AM,0.1 - 1,Man Utd v Burnley
