AM_names,AM_odds,contest
Matheus Cunha AM,6 - 9,Man Utd v Newcastle
Patrick Dorgu AM,6 - 9,Man Utd v Newcastle
Diogo Dalot AM,5 - 8,Man Utd v Newcastle
Mason Mount AM,4 - 7,Man Utd v Newcastle
Casemiro AM,2 - 4,Man Utd v Newcastle
Luke Shaw AM,2 - 4,Man Utd v Newcastle
Benjamin Sesko AM,2 - 4,Man Utd v Newcastle
Joshua Zirkzee AM,4 - 7,Man Utd v Newcastle
Jacob Murphy AM,11 - 14,Man Utd v Newcastle
Anthony Elanga AM,9 - 12,Man Utd v Newcastle
Harvey Barnes AM,7 - 10,Man Utd v Newcastle
Lewis Hall AM,5 - 8,Man Utd v Newcastle
Anthony Gordon AM,5 - 8,Man Utd v Newcastle
Jacob Ramsey AM,5 - 8,Man Utd v Newcastle
Joe Willock AM,4 - 7,Man Utd v Newcastle
Sandro Tonali AM,4 - 7,Man Utd v Newcastle
Bruno Guimaraes AM,4 - 7,Man Utd v Newcastle
Lewis Miley AM,3 - 6,Man Utd v Newcastle
Nick Woltemade AM,3 - 6,Man Utd v Newcastle
Yoane Wissa AM,2.5 - 5,Man Utd v Newcastle
Joelinton AM,2 - 4,Man Utd v Newcastle
Bukayo Saka AM,15 - 18,Arsenal v Brighton
Martin Odegaard AM,12 - 15,Arsenal v Brighton
Gabriel Martinelli AM,11 - 14,Arsenal v Brighton
Declan Rice AM,10 - 13,Arsenal v Brighton
Eberechi Eze AM,9 - 12,Arsenal v Brighton
Leandro Trossard AM,9 - 12,Arsenal v Brighton
Noni Madueke AM,8 - 11,Arsenal v Brighton
Kai Havertz AM,7 - 10,Arsenal v Brighton
Gabriel Jesus AM,7 - 10,Arsenal v Brighton
Viktor Gyokeres AM,6 - 9,Arsenal v Brighton
Mikel Merino AM,6 - 9,Arsenal v Brighton
Ethan Nwaneri AM,5 - 8,Arsenal v Brighton
Martin Zubimendi AM,3 - 6,Arsenal v Brighton
Riccardo Calafiori AM,3 - 6,Arsenal v Brighton
Christian Norgaard AM,3 - 6,Arsenal v Brighton
Myles Lewis-Skelly AM,2.5 - 5,Arsenal v Brighton
Piero Hincapie AM,2.5 - 5,Arsenal v Brighton
Jurrien Timber AM,2 - 4,Arsenal v Brighton
Gabriel Magalhaes AM,1 - 3,Arsenal v Brighton
William Saliba AM,0.5 - 2,Arsenal v Brighton
Brajan Gruda AM,5 - 8,Arsenal v Brighton
Yankuba Minteh AM,4 - 7,Arsenal v Brighton
Tom Watson AM,4 - 7,Arsenal v Brighton
Maxime De Cuyper AM,3 - 6,Arsenal v Brighton
Georginio Rutter AM,2.5 - 5,Arsenal v Brighton
