assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,0,3,0,0.3,328,0.0,0.0,0.0,1.76,4,2,0,0.5,0.4,2023-08-12,14,5,0,0,0,0,1,0,14400,0,1,4,4.0,1,0,0,0,50,False,0,328,,,0,0,0.0,13,Sub,Brighton,Luton,4,1,22278,2023,603783,0.0,0,0,0,0.0,0.0442306846380233,0.0442306846380233,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,3,1
0,0,3,0,0.0,328,0.0,0.0,0.0,0.08,26,0,0,0.0,0.0,2023-08-25,13,7,0,0,0,0,3,0,12911,0,0,3,0.0,1,-1504,298,1802,50,False,0,328,,,0,0,0.0,11,Sub,Chelsea,Luton,3,0,22295,2023,606608,0.0,0,0,0,0.0,0.0,0.0,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,3,3
0,0,4,0,1.0,328,0.02,0.05,0.03,0.2,38,1,0,1.3,3.4,2023-09-01,12,19,0,0,0,0,4,0,12219,0,2,1,9.0,1,-1096,347,1443,49,True,0,328,,,0,1,0.0439218878746032,10,Sub,Luton,West Ham,1,2,21925,2023,608287,0.0,0,0,0,0.0439218878746032,0.0439218878746032,0.0,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,2,4
0,0,3,0,1.0,328,0.01,0.01,0.0,0.05,44,0,0,0.4,1.4,2023-09-16,16,10,0,0,0,0,5,0,11729,0,0,1,2.0,1,-983,451,1434,49,False,0,328,,,0,0,0.0,15,Sub,Fulham,Luton,1,0,21939,2023,610426,0.0,0,0,0,0.0,0.1088006570935249,0.1088006570935249,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,3,5
0,0,13,0,43.6,328,0.42,0.46,0.04,0.59,58,1,0,7.2,11.0,2023-09-23,90,20,0,0,0,0,6,0,11062,1,1,1,17.0,2,-763,225,988,49,True,0,328,,,0,1,0.0439271032810211,90,FWL,Luton,Wolverhampton Wanderers,1,1,21945,2023,612187,0.7771488428115845,0,4,0,0.0439271032810211,1.0997759103775024,0.2787000238895416,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,2,6
0,0,8,0,2.3,328,0.01,0.05,0.04,2.9,63,1,0,2.4,8.2,2023-09-30,90,9,0,0,0,0,7,0,11956,1,2,1,13.0,2,692,1480,788,49,False,0,328,,,0,1,0.0906350165605545,90,AMC,Everton,Luton,1,2,21956,2023,614592,0.0,0,0,0,0.0906350165605545,0.0906350165605545,0.0,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,2,7
0,0,1,0,12.8,328,0.03,0.26,0.23,1.04,15,2,0,2.3,0.0,2023-10-03,90,6,0,0,0,0,7,0,11956,1,2,1,10.0,2,692,1480,788,49,True,0,328,,,0,2,0.209361121058464,90,AMC,Luton,Burnley,1,2,22289,2023,615876,0.0252312421798706,0,1,0,0.209361121058464,0.3770119547843933,0.1424195915460586,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,2,7
0,0,15,0,12.8,328,0.48,0.58,0.1,1.99,77,1,0,4.0,12.4,2023-10-07,90,18,0,0,0,0,8,0,11545,1,1,0,15.0,2,-465,586,1051,49,True,0,328,,,0,2,0.1189478933811187,90,ML,Luton,Tottenham,0,1,21971,2023,616124,0.0,0,1,0,0.1189478933811187,0.0908853188157081,0.0,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,3,2,8
0,2,41,0,23.5,328,0.4,0.78,0.38,2.97,88,2,1,10.0,46.4,2023-10-21,90,16,0,0,0,0,9,0,11721,1,2,2,30.0,8,-34,723,757,49,False,0,328,,,1,2,0.5109573006629944,90,MR,Nottingham Forest,Luton,2,2,21982,2023,618081,0.3956931829452514,0,2,1,0.5109573006629944,0.4213602244853973,0.0,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,2,9
0,0,6,0,1.8,328,0.01,0.01,0.0,2.39,92,3,0,1.4,10.6,2023-10-29,90,2,0,0,0,0,10,0,13212,1,1,3,2.0,2,1262,1908,646,49,False,0,328,,,0,0,0.0,90,MC,Aston Villa,Luton,3,1,21987,2023,620462,0.0,0,0,0,0.0,0.0,0.0,11719,Luton,Chiedozie Ogbene,Chiedozie Ogbene,FWD,2,4,10
