assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,0,-3,0,0.3,177,0.0,0.45,0.45,0.02,25,0,0,0.1,0.0,2023-08-27,9,2,0,0,0,0,3,0,19436,0,3,1,5.0,1,-2622,1189,3811,54,True,0,177,,,0,2,0.3908878862857818,6,Sub,Burnley,Aston Villa,1,3,22302,2023,607452,0.0,0,0,0,0.3908878862857818,0.3908878862857818,0.0,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,3,2,3
0,0,2,0,3.0,177,0.0,0.08,0.08,0.42,54,0,0,1.2,4.0,2023-09-23,17,14,0,0,0,0,6,0,16977,0,1,0,5.0,1,-861,617,1478,53,True,0,177,,,0,1,0.0976713970303535,14,Sub,Burnley,Manchester United,0,1,21950,2023,612529,0.0,0,0,0,0.0976713970303535,0.0976713970303535,0.0,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,3,2,6
0,0,2,0,0.2,177,0.0,0.0,0.0,1.27,66,1,0,0.1,1.2,2023-09-30,32,15,0,0,0,0,7,0,17695,0,0,2,0.0,1,237,1580,1343,53,False,0,177,,,0,0,0.0,30,Sub,Newcastle United,Burnley,2,0,21958,2023,614686,0.0,0,0,0,0.0,0.0349618308246135,0.0349618308246135,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,4,7
0,0,3,0,0.6,177,0.0,0.03,0.03,0.19,15,1,0,0.6,0.0,2023-10-03,10,12,0,0,0,0,7,0,17695,0,2,1,6.0,1,237,1580,1343,53,False,0,177,,,0,2,0.073135420680046,6,Sub,Luton,Burnley,1,2,22289,2023,615895,0.0,0,0,0,0.073135420680046,0.0877263098955154,0.0145908882841467,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,2,7
0,0,0,0,0.7,177,0.0,0.0,0.0,0.18,93,1,0,0.3,0.6,2023-10-28,45,3,0,0,0,0,10,0,16352,0,1,2,2.0,1,-409,472,881,53,False,0,177,,,0,0,0.0,41,Sub,Bournemouth,Burnley,2,1,21985,2023,619894,0.0,0,0,0,0.0,0.0,0.0,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,2,10
0,0,1,0,12.3,177,0.03,0.42,0.39,1.32,102,2,0,6.9,6.8,2023-11-04,90,8,0,0,0,0,11,0,16197,1,2,0,50.0,2,-318,596,914,53,True,0,177,,,0,3,0.517893373966217,90,FW,Burnley,Crystal Palace,0,2,21996,2023,621560,0.0410691425204277,0,1,0,0.517893373966217,0.5246197581291199,0.0,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,2,11
0,0,5,0,0.7,177,0.0,0.07,0.07,2.03,111,3,0,3.7,10.6,2023-11-11,90,1,0,0,0,0,12,0,16585,1,1,3,26.0,2,186,875,689,53,False,0,177,,,0,2,0.0767590999603271,90,FW,Arsenal,Burnley,3,1,22006,2023,623284,0.0,0,0,0,0.0767590999603271,0.1444808393716812,0.1222665607929229,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,5,12
0,3,30,0,12.3,177,0.01,0.8,0.79,1.03,122,2,1,7.5,44.0,2023-11-25,90,19,0,0,0,0,13,0,17401,1,2,1,19.0,9,503,1500,997,53,True,0,177,,,1,1,0.7611688375473022,90,FW,Burnley,West Ham,1,2,22016,2023,624848,0.0696109980344772,0,1,0,0.0,0.128609150648117,0.0589981563389301,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,2,13
0,0,31,1,3.3,177,0.02,0.24,0.22,0.36,134,0,1,5.7,33.4,2023-12-02,75,17,0,0,0,0,14,0,32265,1,0,5,20.0,6,13606,14938,1332,53,True,0,177,,,1,2,0.4614227712154388,82,FW,Burnley,Sheffield United,5,0,22028,2023,626477,0.0,0,0,1,0.4614227712154388,0.689807116985321,0.2283843457698822,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,2,14
0,0,6,0,3.3,177,0.0,0.43,0.43,0.83,149,1,0,2.8,5.6,2023-12-05,90,20,0,0,0,0,15,0,34283,1,0,1,19.0,2,2169,7053,4884,53,False,0,177,,,0,1,0.4030055701732635,90,FW,Wolverhampton Wanderers,Burnley,1,0,22042,2023,627896,0.0,0,0,0,0.4030055701732635,0.4030055701732635,0.0,844,Burnley,Jay Rodriguez,Jay Rodriguez,FWD,2,2,15
