assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
1,0,20,0,36.3,103,0.74,0.74,0.0,1.26,8,2,0,7.6,33.8,2023-08-13,90,18,0,0,0,0,1,0,172752,1,2,2,6.0,4,0,0,0,45,True,0,103,,,Rico Henry,0,0,0.0,90,DL,Brentford,Tottenham,2,2,22282,2023,604188,0.579993724822998,1,2,0,0.0,0.8623220324516296,0.2823283076286316,22282,Brentford,Rico Henry,Rico Henry,DEF,3,2,1
0,0,18,1,1.9,103,0.09,0.09,0.0,0.46,13,0,0,1.1,7.0,2023-08-19,90,10,0,0,0,0,2,0,383149,1,3,0,2.0,5,166244,178765,12521,45,False,1,103,,,Rico Henry,0,0,0.0,90,DL,Fulham,Brentford,0,3,22287,2023,605105,0.0,0,0,0,0.0,0.8103819489479065,0.8103819489479065,22287,Brentford,Rico Henry,Rico Henry,DEF,2,3,2
0,0,14,0,16.2,103,0.04,0.09,0.05,0.8,23,1,0,4.7,24.8,2023-08-26,90,8,0,0,0,0,3,0,609606,1,1,1,6.0,2,200548,233325,32777,46,True,0,103,,,Rico Henry,0,1,0.0329424776136875,90,DL,Brentford,Crystal Palace,1,1,22298,2023,606895,0.0744124501943588,0,1,0,0.0329424776136875,0.2042780220508575,0.1298655718564987,22298,Brentford,Rico Henry,Rico Henry,DEF,2,2,3
0,0,15,0,13.0,103,0.02,0.04,0.02,2.02,32,2,0,1.9,3.4,2023-09-02,90,3,0,0,0,0,4,0,694767,1,2,2,3.0,1,67338,107578,40240,46,True,0,103,,,Rico Henry,0,1,0.0124276177957654,90,DL,Brentford,Bournemouth,2,2,21928,2023,608648,0.1360872834920883,0,1,0,0.0124276177957654,0.1793784350156784,0.1669508218765258,21928,Brentford,Rico Henry,Rico Henry,DEF,2,2,4
0,0,7,0,0.5,103,0.01,0.01,0.0,0.58,46,0,0,0.4,3.8,2023-09-16,41,15,0,0,0,0,5,0,656216,1,0,1,0.0,1,-32951,36085,69036,46,False,0,103,,,Rico Henry,0,0,0.0,41,DL,Newcastle United,Brentford,1,0,21943,2023,610664,0.0,0,0,0,0.0,0.075975015759468,0.075975015759468,21943,Brentford,Rico Henry,Rico Henry,DEF,2,4,5
