assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,fpl_id,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event
0,0,3,0,0.1,662,0.0,0.0,0.0,1.27,13,1,0,0.0,0.2,2023-08-19,4,4,0,0,0,0,2,0,2230,0,3,0,0.0,1,1144,1346,202,50,True,0,0,0,0.0,2,MID,Fulham,Brentford,0,3,22287,2023,605099,0.0,0,0,0,0.0,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,3,2
0,0,-2,0,0.3,662,0.0,0.12,0.12,0.94,21,1,0,2.6,5.0,2023-08-26,19,1,0,0,0,0,3,0,3081,0,2,2,21.0,1,288,1015,727,50,False,0,0,1,0.4342057108879089,17,MID,Arsenal,Fulham,2,2,22297,2023,606944,0.0,0,0,0,0.4342057108879089,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,5,3
0,0,3,0,0.0,662,0.0,0.0,0.0,0.19,39,1,0,0.0,0.0,2023-09-02,9,13,0,0,0,0,4,0,4092,0,1,5,0.0,1,431,1125,694,50,False,0,0,0,0.0,2,MID,Manchester City,Fulham,5,1,21927,2023,608736,0.0,0,0,0,0.0,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,5,4
0,0,5,0,4.6,662,0.03,0.03,0.0,0.96,112,0,0,0.9,4.4,2023-11-12,8,2,0,0,0,0,12,0,2856,0,1,3,0.0,1,-110,17,127,49,False,0,0,0,0.0,3,MID,Aston Villa,Fulham,3,1,22007,2023,623920,0.0,0,0,0,0.0,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,4,12
0,0,2,0,0.1,662,0.0,0.0,0.0,0.25,233,0,0,0.0,0.0,2024-02-10,5,3,0,0,0,0,24,0,2634,0,1,3,0.0,1,-2,42,44,49,True,0,0,0,0.0,1,MID,Fulham,Bournemouth,3,1,22127,2023,640129,0.0,0,0,0,0.0,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,3,24
0,0,-4,0,4.3,662,0.01,0.49,0.48,0.0,244,0,0,2.5,3.2,2024-02-17,15,2,0,0,0,0,25,0,2788,0,2,1,17.0,0,100,147,47,49,True,1,0,1,0.3383306264877319,8,MID,Fulham,Aston Villa,1,2,22138,2023,641776,0.0,0,0,0,0.3383306264877319,0.3383306264877319,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,3,3,25
1,0,12,0,11.6,662,0.04,0.04,0.0,1.19,258,1,0,3.0,18.4,2024-02-24,13,14,0,0,0,0,26,0,2945,0,2,1,0.0,4,87,168,81,49,False,0,0,0,0.0,11,MID,Manchester United,Fulham,1,2,22152,2023,643293,0.0939766690135002,1,1,0,0.0,0.1259217411279678,0.0319450758397579,662,900,Fulham,Adama Traoré,Adama Traoré,2,4,26
0,0,21,0,0.3,662,0.0,0.47,0.47,0.05,264,0,1,5.2,35.0,2024-03-02,6,5,0,0,0,0,27,0,3437,0,0,3,17.0,6,443,576,133,49,True,0,1,1,0.308147519826889,2,MID,Fulham,Brighton,3,0,22158,2023,644880,0.0,0,0,1,0.308147519826889,0.308147519826889,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,3,27
0,0,6,0,15.3,662,0.18,0.26,0.08,0.3,280,0,0,3.5,8.6,2024-03-09,20,20,0,0,0,0,28,0,4299,0,1,2,11.0,1,770,974,204,49,False,0,0,2,0.087106205523014,14,MID,Wolverhampton Wanderers,Fulham,2,1,22174,2023,646713,0.1388479024171829,0,1,0,0.087106205523014,0.2264140397310257,0.0487167164683342,662,900,Fulham,Adama Traoré,Adama Traoré,2,2,28
1,0,11,0,11.3,662,0.18,0.21,0.03,1.19,299,2,0,4.1,15.6,2024-03-30,27,17,0,0,0,0,30,0,4475,0,3,3,14.0,4,-176,220,396,49,False,0,0,1,0.0361499786376953,26,MID,Sheffield United,Fulham,3,3,22193,2023,649851,0.0871475860476493,1,1,0,0.0361499786376953,0.1232975646853447,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,2,30
0,0,6,0,18.0,662,0.15,0.21,0.06,0.8,305,1,0,3.3,9.4,2024-04-02,57,16,0,0,0,0,31,0,4529,0,1,3,6.0,1,29,231,202,49,False,0,0,1,0.0675457119941711,58,MID,Nottingham Forest,Fulham,3,1,22198,2023,651002,0.0465919971466064,0,1,0,0.0675457119941711,0.1630124896764755,0.0954667776823043,662,900,Fulham,Adama Traoré,Adama Traoré,2,2,31
0,0,4,0,1.8,662,0.04,0.04,0.0,0.4,315,1,0,1.0,3.8,2024-04-06,25,15,0,0,0,0,32,0,4325,0,1,0,4.0,1,-219,112,331,49,True,0,0,0,0.0,20,MID,Fulham,Newcastle United,0,1,22209,2023,651753,0.0,0,0,0,0.0,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,3,3,32
0,0,3,0,0.3,662,0.0,0.05,0.05,0.0,330,0,0,1.0,3.0,2024-04-14,1,19,0,0,0,0,33,0,4226,0,2,0,7.0,1,-136,122,258,49,False,0,0,1,0.032039139419794,1,MID,West Ham,Fulham,0,2,22224,2023,653868,0.0,0,0,0,0.032039139419794,0.032039139419794,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,3,33
0,0,4,0,10.5,662,0.03,0.03,0.0,0.03,335,0,0,1.3,2.2,2024-04-21,5,11,0,0,0,0,34,0,4095,0,3,1,0.0,1,-146,118,264,49,True,0,0,0,0.0,1,MID,Fulham,Liverpool,1,3,22229,2023,655637,0.0189901944249868,0,1,0,0.0,0.0189901944249868,0.0189901944249868,662,900,Fulham,Adama Traoré,Adama Traoré,4,3,34
0,0,3,0,1.3,662,0.01,0.06,0.05,0.02,352,0,0,2.8,3.2,2024-05-04,26,4,0,0,0,0,36,0,3975,0,0,0,23.0,1,-61,64,125,49,False,0,0,1,0.0653089433908462,20,MID,Brentford,Fulham,0,0,22246,2023,658862,0.0,0,0,0,0.0653089433908462,0.0653089433908462,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,2,36
0,0,2,0,0.4,662,0.0,0.0,0.0,1.96,364,3,0,0.4,1.2,2024-05-11,45,13,0,0,0,0,37,0,4011,0,4,0,2.0,1,10,136,126,49,True,0,0,0,0.0,41,MID,Fulham,Manchester City,0,4,22258,2023,660327,0.0,0,0,0,0.0,0.0,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,5,3,37
1,1,34,0,27.9,662,0.21,0.36,0.15,1.73,378,2,1,9.7,51.0,2024-05-19,78,12,0,0,0,0,38,0,4107,1,4,2,18.0,10,69,187,118,49,False,1,1,2,0.1232276335358619,83,MID,Luton,Fulham,2,4,22272,2023,663041,0.3165343701839447,1,2,1,0.1232276335358619,0.4397619962692261,0.0,662,900,Fulham,Adama Traoré,Adama Traoré,2,2,38
