assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,0,8,0,13.8,503,0.02,0.02,0.0,0.12,22,0,0,2.1,3.2,2023-08-26,16,3,0,0,0,0,3,0,9256,0,2,0,4.0,1,-1791,825,2616,49,False,0,503,,,0,0,0.0,11,Sub,Bournemouth,Tottenham,0,2,22296,2023,606668,0.034908477216959,0,1,0,0.0,0.034908477216959,0.034908477216959,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,2,3
0,0,3,0,0.2,503,0.0,0.0,0.0,0.86,90,0,0,0.6,5.4,2023-10-23,8,10,0,0,0,0,9,0,4621,0,0,2,0.0,1,-28,115,143,48,True,0,503,,,0,0,0.0,6,Sub,Tottenham,Fulham,2,0,21984,2023,619286,0.0,0,0,0,0.0,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,9
0,0,3,0,0.9,503,0.0,0.08,0.08,1.04,120,2,0,1.2,4.4,2023-11-11,15,20,0,0,0,0,12,0,4944,0,1,2,7.0,1,243,362,119,48,False,0,503,,,0,1,0.0617367886006832,9,Sub,Wolverhampton Wanderers,Tottenham,2,1,22014,2023,623013,0.0,0,0,0,0.0617367886006832,0.0617367886006832,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,2,12
0,3,33,0,37.9,503,0.09,0.16,0.07,1.76,130,2,1,11.2,50.6,2023-11-26,85,2,0,0,0,0,13,0,5147,1,2,1,23.0,10,140,321,181,48,True,0,503,,,1,2,0.0598099492490291,90,DMC,Tottenham,Aston Villa,1,2,22024,2023,625554,0.1497803181409835,0,3,1,0.0598099492490291,0.2697141766548157,0.1793707460165023,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,4,13
0,0,28,0,2.3,503,0.01,0.13,0.12,2.12,137,2,1,4.5,34.0,2023-12-03,78,13,0,0,0,0,14,0,7153,1,3,3,9.0,7,1808,2055,247,48,False,0,503,,,1,2,0.0750042125582695,82,DMC,Manchester City,Tottenham,3,3,22031,2023,627558,0.0,0,0,1,0.0750042125582695,0.0478517226874828,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,5,14
0,0,16,0,44.8,503,0.33,0.48,0.15,0.94,148,1,0,8.4,13.0,2023-12-07,66,19,0,0,0,0,15,0,23441,1,2,1,26.0,2,15726,16280,554,48,True,0,503,,,0,3,0.171330064535141,69,AMC,Tottenham,West Ham,1,2,22041,2023,628205,0.2055584639310836,0,3,0,0.171330064535141,0.4108225405216217,0.1034154593944549,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,15
0,0,2,0,2.3,503,0.0,0.0,0.0,0.6,159,1,0,0.8,6.0,2023-12-10,17,15,0,0,0,0,16,0,27316,0,1,4,0.0,1,3972,6747,2775,48,True,0,503,,,0,0,0.0,14,Sub,Tottenham,Newcastle United,4,1,22053,2023,629550,0.0,0,0,0,0.0,0.5741974711418152,0.5741974711418152,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,4,16
0,0,6,0,1.1,503,0.04,0.04,0.0,0.68,178,1,0,1.4,10.6,2023-12-23,17,9,0,0,0,0,18,0,13981,0,1,2,2.0,1,-5637,96,5733,48,True,0,503,,,0,0,0.0,12,Sub,Tottenham,Everton,2,1,22071,2023,632617,0.0,0,0,0,0.0,0.0880324319005012,0.0880324319005012,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,18
0,0,8,0,27.2,503,0.2,0.2,0.0,0.79,184,1,0,3.6,7.0,2023-12-28,25,5,0,0,0,0,19,0,13956,0,2,4,2.0,1,-603,1021,1624,48,False,0,503,,,0,0,0.0,20,Sub,Brighton,Tottenham,4,2,22078,2023,633179,0.1459274888038635,0,2,0,0.0,0.3030174672603607,0.1570899933576584,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,3,19
2,3,33,1,26.5,503,0.14,0.14,0.0,1.3,198,0,0,7.5,46.2,2023-12-31,81,3,0,0,0,0,20,0,12598,1,1,3,2.0,11,-1369,445,1814,48,True,1,503,,,0,0,0.0,90,MC,Tottenham,Bournemouth,3,1,22092,2023,633732,0.1448431760072708,2,2,0,0.0,0.6028587818145752,0.5414764285087585,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,20
0,0,5,0,15.3,503,0.18,0.18,0.0,0.12,250,0,0,2.2,2.4,2024-02-17,5,20,0,0,0,0,25,0,7342,0,2,1,4.0,1,-348,61,409,48,True,0,503,,,0,0,0.0,1,Sub,Tottenham,Wolverhampton Wanderers,1,2,22144,2023,641861,0.0551226213574409,0,1,0,0.0,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,25
0,0,3,0,1.8,503,0.01,0.01,0.0,0.0,270,0,0,0.3,0.8,2024-03-02,1,8,0,0,0,0,27,0,7313,0,1,3,0.0,1,-20,140,160,48,True,0,503,,,0,0,0.0,1,Sub,Tottenham,Crystal Palace,3,1,22164,2023,644909,0.0,0,0,0,0.0,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,27
0,0,3,0,2.4,503,0.01,0.03,0.02,0.27,286,0,0,1.3,3.6,2024-03-16,3,10,0,0,0,0,29,0,7147,0,0,3,7.0,1,-48,79,127,48,False,0,503,,,0,1,0.0247042402625083,1,Sub,Fulham,Tottenham,3,0,22180,2023,648483,0.0,0,0,0,0.0247042402625083,0.0247042402625083,0.0247042402625083,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,3,29
0,0,6,0,12.6,503,0.54,0.54,0.0,0.03,300,0,0,2.0,5.2,2024-03-30,22,12,0,0,0,0,30,0,7175,0,1,2,2.0,0,-77,55,132,48,True,1,503,,,0,0,0.0,19,Sub,Tottenham,Luton,2,1,22194,2023,649864,0.6894879937171936,0,1,0,0.0,0.7325485348701477,0.7325485348701477,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,30
0,0,4,0,10.8,503,0.0,0.0,0.0,0.02,306,0,0,1.5,2.4,2024-04-02,1,19,0,0,0,0,31,0,7151,0,1,1,2.0,1,-44,37,81,48,False,0,503,,,0,0,0.0,1,Sub,West Ham,Tottenham,1,1,22199,2023,651113,0.0743578672409057,0,1,0,0.0,0.0743578672409057,0.0743578672409057,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,3,31
0,0,4,0,1.7,503,0.01,0.03,0.02,0.14,319,0,0,0.3,0.6,2024-04-07,14,16,0,0,0,0,32,0,7082,0,1,3,1.0,1,-84,43,127,48,True,0,503,,,0,1,0.0230812430381774,11,Sub,Tottenham,Nottingham Forest,3,1,22213,2023,652612,0.0,0,0,0,0.0230812430381774,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,32
0,0,6,0,3.3,503,0.02,0.02,0.0,0.17,328,1,0,0.7,3.6,2024-04-13,9,15,0,0,0,0,33,0,7094,0,0,4,0.0,1,-31,60,91,48,False,0,503,,,0,0,0.0,8,Sub,Newcastle United,Tottenham,4,0,22222,2023,652940,0.0,0,0,0,0.0,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,4,33
0,0,2,0,16.0,503,0.01,0.03,0.02,0.0,348,0,0,2.1,2.4,2024-04-28,2,1,0,0,0,0,35,0,7042,0,3,2,3.0,1,-7,89,96,48,True,0,503,,,0,1,0.0148825272917747,1,Sub,Tottenham,Arsenal,2,3,22241,2023,657554,0.0,0,0,0,0.0148825272917747,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,5,4,35
0,0,8,0,29.7,503,0.15,0.18,0.03,0.03,255,0,0,5.2,13.0,2024-05-02,4,7,0,0,0,0,35,0,7042,0,0,2,9.0,1,-7,89,96,48,False,0,503,,,0,1,0.0515247322618961,1,Sub,Chelsea,Tottenham,2,0,22149,2023,658398,0.0492212586104869,0,2,0,0.0515247322618961,0.1751233786344528,0.1751233786344528,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,3,35
0,0,4,0,11.2,503,0.02,0.05,0.03,0.61,357,0,0,2.7,8.6,2024-05-05,15,11,0,0,0,0,36,0,7048,0,2,4,7.0,1,-22,55,77,48,False,0,503,,,0,1,0.0159055851399898,13,Sub,Liverpool,Tottenham,4,2,22251,2023,659569,0.0538188032805919,0,1,0,0.0159055851399898,0.0786075443029403,0.0627019628882408,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,3,5,36
0,0,2,0,0.3,503,0.0,0.0,0.0,0.0,368,0,0,0.0,0.0,2024-05-11,2,6,0,0,0,0,37,0,7199,0,1,2,0.0,1,114,231,117,48,True,0,503,,,0,0,0.0,1,Sub,Tottenham,Burnley,2,1,22262,2023,660636,0.0,0,0,0,0.0,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,2,4,37
0,0,2,0,0.7,503,0.01,0.01,0.0,0.86,339,1,0,0.4,2.8,2024-05-14,5,13,0,0,0,0,37,0,7199,0,2,0,0.0,1,114,231,117,48,True,0,503,,,0,0,0.0,5,Sub,Tottenham,Manchester City,0,2,22233,2023,661910,0.0,0,0,0,0.0,0.0,0.0,5681,Tottenham,Giovani Lo Celso,Giovani Lo Celso,MID,5,4,37
